size	norm
3	0.282017
4	0.115653
5	0.16914
6	0.120123
7	0.120427
8	0.119992
9	0.111117
10	0.0477096
11	0.101687
12	0.0395416
13	0.0810801
14	0.0763832
15	0.074152
16	0.0706077
17	0.0619615
18	0.0602106
19	0.0364183
20	0.0560747
21	0.0323201
22	0.0324574
23	0.0477417
24	0.0459981
25	0.0450362
26	0.0289265
27	0.0403093
28	0.0395155
29	0.0383036
30	0.0376167
31	0.0365934
32	0.0342773
33	0.0336958
34	0.0328056
35	0.0322922
36	0.0235907
37	0.0233739
38	0.0293655
39	0.0286844
40	0.022746
41	0.0214882
42	0.0212848
43	0.0211628
44	0.0208409
45	0.0251648
46	0.019749
47	0.0236386
48	0.0194064
49	0.0191304
50	0.0190168
51	0.0181805
52	0.018019
53	0.0179122
54	0.0208284
55	0.020614
56	0.0168656
57	0.016725
58	0.0166273
59	0.0164191
60	0.0189046
61	0.0156945
62	0.0156005
63	0.0178689
64	0.0176117
65	0.0174572
66	0.0172756
67	0.0167137
68	0.0145352
69	0.0163516
70	0.0162205
71	0.0160976
72	0.0155836
73	0.0154697
74	0.0135545
75	0.0151992
76	0.0150998
77	0.0130659
78	0.0130617
79	0.014587
80	0.014655
81	0.0148157
82	0.0129404
83	0.0132359
84	0.0135392
85	0.0159148
86	0.0168721
87	0.0151456
88	0.0188015
89	0.0207422
90	0.0211847
91	0.0284911
92	0.029397
93	0.031389
94	0.0422466
95	0.0522645
96	0.0491308
97	0.0683546
98	0.0851809
99	0.0902799
100	0.126679
101	0.120088
102	0.146572
103	0.202667
104	0.239635
105	0.29175
106	0.348407
107	0.370181
108	0.445387
109	0.466539
110	0.615966
111	0.730167
112	0.690071
113	0.896206
114	0.931098
115	1.08896
116	1.38798
117	1.43952
118	1.66404
119	1.87084
120	2.14588
