func	1square	1sh	3sh
{$2x+y$}	4.75618e-09	4.48585e-09	3.23294e-08
{$3x^2+y^2$}	3.0368e-08	1.84664e-08	2.08491
{$x^3+xy^2+y^3$}	1.77474e-07	8.96102e-08	6.35468
{$x^4+y^4$}	0.00797877	0.0061622	23.9912
{$x^5+y^5+2xy$}	0.0793144	0.0602063	91.063
{$e^{x+y}$}	0.0186806	0.0134011	30.732
{$e^{x^2+y^2}$}	2895.56	1241.13	390412
{$e^{x^3+yx^2}$}	5.72654e+07	4.04531e+07	5.02819e+09
{$sin x + cos y$}	3.54674e-05	3.20161e-05	0.100579
{$sqrt{x^2+y^2}$}	1.98752e-05	1.68487e-05	0.0929096
{$x^{1.2}+y^{1.5}$}	3.1121e-05	2.45815e-05	0.160983
