c	norm
0.14	4.44014
0.15	4.57974
0.16	4.70248
0.17	4.80943
0.18	4.90158
0.19	4.9799
0.2	5.04531
0.21	0.332383
0.22	0.366371
0.23	0.401077
0.24	0.436299
0.25	0.471836
0.26	0.507486
0.27	0.543047
0.28	0.578324
0.29	0.613126
0.3	0.647269
0.31	0.68058
0.32	0.712892
0.33	0.744053
0.34	0.773921
0.35	0.80237
0.36	0.829286
0.37	0.854571
0.38	0.878144
0.39	0.899937
0.4	0.919902
0.41	4.61254
0.42	4.54476
0.43	4.47499
0.44	4.40343
0.45	3.21996
0.46	3.10088
0.47	2.9817
0.48	2.86279
0.49	2.74451
0.5	2.62721
0.51	2.51124
0.52	2.39693
0.53	2.28459
0.54	2.17452
0.55	2.06702
0.56	1.96235
0.57	1.86078
0.58	1.76253
0.59	2.24197
0.6	2.13034
0.61	1.8731
0.62	1.77602
0.63	1.68107
0.64	1.67295
0.65	1.5787
0.66	1.48687
0.67	1.73673
0.68	1.63537
0.69	1.5358
0.7	1.43829
0.71	1.34314
0.72	1.25067
0.73	1.37093
0.74	1.30864
0.75	1.21239
0.76	1.11861
0.77	1.16725
0.78	1.04717
0.79	0.957241
0.8	0.99071
0.81	0.907447
0.82	0.818801
0.83	0.809993
0.84	0.723751
0.85	0.716533
0.86	0.618361
0.87	0.540458
0.88	0.519614
0.89	0.445871
0.9	0.410327
0.91	0.37298
0.92	0.314808
0.93	0.2702
0.94	0.211208
0.95	0.175368
0.96	0.120069
0.97	0.074103
0.98	0.0342386
0.99	0.00958786
1	0.0602063
1.01	0.0948143
1.02	0.131421
1.03	0.165686
1.04	0.227459
1.05	0.261764
1.06	0.294104
1.07	0.314873
1.08	0.350595
1.09	0.362642
1.1	0.481812
1.11	0.507719
1.12	0.534706
1.13	0.559928
1.14	0.578455
1.15	0.58302
1.16	0.59481
1.17	0.604311
1.18	0.651673
1.19	0.660134
1.2	0.636339
1.21	0.649412
1.22	0.650382
1.23	0.65006
1.24	0.648587
1.25	0.929144
1.26	0.935956
1.27	0.941292
1.28	0.945259
1.29	0.947963
1.3	0.949501
1.31	0.949968
1.32	0.949449
1.33	0.948029
1.34	0.945783
1.35	0.942783
1.36	0.939096
1.37	0.934784
1.38	0.929904
1.39	0.924509
1.4	0.918649
1.41	0.912367
1.42	0.905709
1.43	0.89871
1.44	0.891407
1.45	0.883834
1.46	0.876021
1.47	0.867996
1.48	0.859785
1.49	0.851412
1.5	0.8429
1.51	0.834267
1.52	0.825534
1.53	0.816719
1.54	0.807835
1.55	0.798899
1.56	0.789924
1.57	0.780922
1.58	0.771906
1.59	0.762884
1.6	0.753867
1.61	0.744865
1.62	0.735884
1.63	0.726933
1.64	0.718018
1.65	0.709146
1.66	0.700322
1.67	0.691551
1.68	0.682839
1.69	0.674189
1.7	0.665604
1.71	0.65709
1.72	0.648648
1.73	0.640282
1.74	0.631994
1.75	0.623786
1.76	0.61566
1.77	0.607618
1.78	0.599661
1.79	0.591792
1.8	0.584009
1.81	0.576316
1.82	0.568712
1.83	0.561198
1.84	0.553774
1.85	0.546441
1.86	0.539198
1.87	0.532047
1.88	0.524987
1.89	0.518017
1.9	0.511139
1.91	0.50435
1.92	0.497652
1.93	0.491043
1.94	0.484523
1.95	0.478092
1.96	0.471749
1.97	0.465493
1.98	0.459324
1.99	0.45324
2	0.447242
2.02	0.435498
2.04	0.424085
2.06	0.412996
2.08	0.402225
2.1	0.391762
2.12	0.381601
2.14	0.371735
2.16	0.362155
2.18	0.352855
2.2	0.343825
2.22	0.33506
2.24	0.32655
2.26	0.31829
2.28	0.310271
2.3	0.302487
2.32	0.29493
2.34	0.287593
2.36	0.280471
2.38	0.273556
2.4	0.266841
2.42	0.260321
2.44	0.25399
2.46	0.247842
2.48	0.241871
2.5	0.236071
2.52	0.230437
2.54	0.224964
2.56	0.219647
2.58	0.21448
2.6	0.20946
2.62	0.204581
2.64	0.199839
2.66	0.195229
2.68	0.190748
2.7	0.186392
