u = $e^x+e^t$, lambda = $u$
t	ru	iu	r1	i1	r2	i2	r3	i3	r4	i4
0.001	0.0810523	30	0.10668	13	nan	1010	0.0735906	19	0.0983537	19
0.002	0.0810523	30	0.101996	13	nan	1010	0.072731	19	0.0978014	19
0.003	0.0810523	30	0.0980841	13	nan	1010	0.0736881	20	0.0968963	19
0.004	0.0810523	30	0.0947976	13	0.112347	14	0.073238	20	0.0962272	19
0.005	0.0810523	30	0.0920214	13	0.112347	14	0.0728639	20	0.0956928	19
0.006	0.0810523	30	0.0896647	13	0.112347	13	0.0725411	20	0.0952459	19
0.007	0.0810523	30	0.0876547	13	0.112347	13	0.0722552	20	0.0948612	20
0.008	0.0810523	30	0.0859329	13	0.112347	13	0.071997	20	0.0945226	20
0.009	0.0810523	30	0.084452	13	0.112348	13	0.0731307	22	0.09422	20
0.01	0.0810523	30	0.083173	13	0.11235	13	0.0728926	22	0.0939462	20
0.011	0.0810523	30	0.0820643	13	0.112354	13	0.0726667	22	0.093696	20
0.012	0.0810523	30	0.0810995	13	0.112363	13	0.0724512	22	0.0934655	20
0.013	0.0810523	30	0.0802572	13	0.112379	13	0.072245	22	0.0932518	20
0.014	0.0810523	30	0.079519	13	0.112403	13	0.0720471	22	0.0930525	20
0.015	0.0810523	30	0.07887	13	0.112438	13	0.0718565	22	0.0928657	20
0.016	0.0810523	30	0.0782975	13	0.112483	13	0.0716726	22	0.0926899	20
0.017	0.0810523	30	0.0777908	13	0.112539	13	0.0714947	22	0.0925238	20
0.018	0.0810523	30	0.0773408	13	0.112603	13	0.0713222	22	0.0923665	20
0.019	0.0810523	30	0.07694	13	0.112672	13	0.0711548	22	0.0922169	21
0.02	0.0810523	30	0.0765818	13	0.112744	13	0.0709921	22	0.0920744	21
0.021	0.0810523	30	0.0762607	13	0.112814	13	0.0708335	22	0.0919383	22
0.022	0.0810523	30	0.0759718	13	0.112879	13	0.0723593	23	0.0918081	22
0.023	0.0810523	30	0.0757112	13	0.112936	13	0.0722153	23	0.0916832	22
0.024	0.0810523	30	0.0754753	13	0.112982	13	0.0720735	23	0.0915632	22
0.025	0.0810523	30	0.075261	13	0.113017	13	0.071934	23	0.0914477	22
0.026	0.0810523	30	0.0750659	13	0.113103	14	0.0717965	23	0.0913365	22
