u = $e^x+e^t$, lambda = $u$
size	iterations	residual
5	30	0.011445
6	30	0.0104552
7	30	0.00968318
8	30	0.00905977
9	30	0.00854284
10	30	0.00810523
11	30	0.00772856
12	30	0.00739991
13	30	0.00710988
14	30	0.00685145
15	30	0.00661929
16	30	0.00640923
17	30	0.00621796
18	30	0.00604285
19	30	0.00588174
20	30	0.00573287
21	30	0.00559475
22	30	0.00546616
23	30	0.00534604
24	30	0.00523351
25	30	0.00512779
26	30	0.00502823
27	30	0.00493426
28	30	0.00484536
29	30	0.0047611
30	30	0.00468109
31	30	0.00460498
32	30	0.00453247
33	30	0.00446327
34	30	0.00439715
35	30	0.00433389
36	30	0.00427328
37	30	0.00421514
38	30	0.00415932
39	30	0.00410565
40	30	0.00405401
41	30	0.00400427
42	30	0.00395631
43	30	0.00391004
44	30	0.00386536
45	30	0.00382217
46	30	0.0037804
47	30	0.00373997
48	30	0.00370081
49	30	0.00366285
50	30	0.00362604
51	30	0.00359032
52	30	0.00355563
53	30	0.00352193
54	30	0.00348917
55	30	0.0034573
56	30	0.0034263
57	30	0.00339611
58	30	0.00336671
59	30	0.00333806
60	30	0.00331012
61	30	0.00328288
62	30	0.0032563
63	30	0.00323035
64	30	0.00320502
65	30	0.00318027
66	30	0.00315608
67	30	0.00313244
68	30	0.00310932
69	30	0.00308671
70	30	0.00306459
71	30	0.00304293
72	30	0.00302172
73	30	0.00300096
74	30	0.00298061
75	30	0.00296067
76	30	0.00294113
77	30	0.00292197
78	30	0.00290318
79	30	0.00288475
80	30	0.00286666
81	30	0.00284891
82	30	0.00283149
83	30	0.00281438
84	30	0.00279758
85	30	0.00278107
86	30	0.00276486
87	30	0.00274892
88	29	0.00273326
89	29	0.00271786
90	29	0.00270272
91	29	0.00268783
92	29	0.00267318
93	29	0.00265877
94	29	0.00264459
95	29	0.00263063
96	29	0.0026169
97	29	0.00260337
98	29	0.00259006
99	29	0.00257694
100	29	0.00256402
101	29	0.0025513
102	29	0.00253876
103	29	0.00252641
104	29	0.00251423
105	29	0.00250223
106	28	0.0024904
107	28	0.00247874
108	28	0.00246724
109	28	0.00245589
110	28	0.0024447
111	28	0.00243367
112	28	0.00242278
113	28	0.00241203
114	28	0.00240143
115	28	0.00239097
116	28	0.00238064
117	28	0.00237044
118	28	0.00236038
119	28	0.00235044
120	28	0.00234063
121	28	0.00233093
122	28	0.00232136
123	28	0.00231191
124	27	0.00230256
125	27	0.00229334
126	27	0.00228422
127	27	0.00227521
128	27	0.0022663
129	27	0.0022575
130	26	0.0022488
131	26	0.0022402
132	26	0.0022317
133	26	0.00222329
134	26	0.00221498
135	26	0.00220676
136	26	0.00219864
137	26	0.0021906
138	26	0.00218265
139	26	0.00217478
140	26	0.002167
141	26	0.0021593
142	26	0.00215169
143	26	0.00214415
144	25	0.00213669
145	25	0.00212931
146	25	0.002122
147	25	0.00211477
148	25	0.00210762
149	25	0.00210053
150	25	0.00209352
151	25	0.00208658
152	25	0.0020797
153	25	0.00207289
154	25	0.00206615
155	25	0.00205948
156	25	0.00205287
157	25	0.00204632
158	25	0.00203983
159	25	0.00203341
160	25	0.00202704
161	25	0.00202074
162	25	0.00201449
163	25	0.0020083
164	25	0.00200217
165	24	0.00199608
166	24	0.00199006
167	24	0.00198409
168	24	0.00197818
169	24	0.00197232
170	24	0.00196651
171	24	0.00196075
172	24	0.00195504
173	24	0.00194939
174	24	0.00194378
175	24	0.00193821
176	24	0.0019327
177	24	0.00192723
178	24	0.00192181
179	24	0.00191644
180	24	0.00191111
181	24	0.00190582
182	24	0.00190058
183	24	0.00189538
184	24	0.00189022
185	24	0.0018851
186	24	0.00188003
187	24	0.00187499
188	24	0.00187
189	23	0.00186498
190	23	0.00186006
191	23	0.00185519
192	23	0.00185035
193	23	0.00184555
194	23	0.00184079
195	23	0.00183606
196	23	0.00183137
197	23	0.00182672
198	23	0.0018221
199	23	0.00181752
