u = $e^x+e^t$, lambda = $u$
size	iterations	residual
5	15	0.0172225
6	18	0.014077
7	21	0.0118944
8	24	0.0102935
9	27	0.00907007
10	30	0.00810523
11	33	0.0073251
12	36	0.00668143
13	39	0.00614139
14	42	0.00568188
15	43	0.00528618
16	41	0.00494189
17	39	0.00463953
18	37	0.00432035
19	38	0.0040876
20	40	0.00387863
21	42	0.00368996
22	44	0.00351878
23	46	0.00336277
24	48	0.00321999
25	50	0.00308883
26	52	0.00296794
27	54	0.00285614
28	56	0.00275245
29	58	0.00265602
30	60	0.00256612
31	62	0.0024821
32	63	0.0024034
33	63	0.00232954
34	63	0.00226008
35	62	0.00219464
36	61	0.00213288
37	60	0.0020745
38	58	0.00201923
39	56	0.00196682
40	55	0.00191707
41	53	0.00186976
42	51	0.00182466
43	50	0.00178121
44	48	0.00172896
45	46	0.00148219
46	47	0.0014542
47	48	0.00142722
48	49	0.00140121
49	50	0.00137611
50	51	0.00135188
51	52	0.00132847
52	53	0.00130585
53	54	0.00128397
54	55	0.0012628
55	56	0.00124231
56	57	0.00122247
57	58	0.00120324
58	59	0.0011846
59	60	0.00116652
60	61	0.00114897
61	62	0.00113195
62	63	0.00111541
63	64	0.00109935
64	65	0.00108373
65	66	0.00106855
66	67	0.00105379
67	68	0.00103942
68	68	0.00102544
69	69	0.00101183
70	70	0.000998569
71	71	0.000985649
72	72	0.000973057
73	73	0.000960781
74	74	0.000948808
75	75	0.000937128
76	76	0.00092573
77	77	0.000914605
78	78	0.000903742
79	79	0.000893132
80	80	0.000882767
81	81	0.000872639
82	82	0.000862739
83	83	0.000853061
84	84	0.000843595
85	85	0.000834337
86	86	0.000825279
87	87	0.000816414
88	88	0.000807737
89	89	0.000799241
90	90	0.000790922
91	91	0.000782773
92	92	0.000774789
93	93	0.000766967
94	94	0.0007593
95	95	0.000751784
96	96	0.000744415
97	97	0.000737188
98	98	0.0007301
99	99	0.000723147
100	100	0.000716324
101	101	0.000709628
102	102	0.000703056
103	103	0.000696604
104	104	0.000690269
105	105	0.000684048
106	106	0.000677938
107	107	0.000671935
108	108	0.000666038
109	109	0.000660243
110	110	0.000654548
111	111	0.00064895
112	112	0.000643446
113	113	0.000638035
114	114	0.000632714
115	115	0.00062748
116	116	0.000622332
117	117	0.000617268
118	118	0.000612286
119	119	0.000607383
120	120	0.000602557
121	121	0.000597808
122	122	0.000593133
123	123	0.00058853
124	124	0.000583998
125	125	0.000579535
126	126	0.000575139
127	127	0.00057081
128	128	0.000566545
129	129	0.000562343
130	130	0.000558203
131	131	0.000554124
132	132	0.000550103
133	133	0.00054614
134	134	0.000542234
135	135	0.000538384
136	136	0.000534587
137	137	0.000530844
138	138	0.000527152
139	139	0.000523512
140	140	0.000519921
141	141	0.000516379
142	142	0.000512885
143	143	0.000509438
144	144	0.000506037
145	145	0.000502681
146	146	0.000499369
147	147	0.0004961
148	148	0.000492874
149	149	0.000489689
150	150	0.000486545
151	151	0.000483442
152	152	0.000480377
153	153	0.000477351
154	154	0.000474363
155	155	0.000471412
156	156	0.000468498
157	157	0.000465619
158	158	0.000462776
159	159	0.000459966
160	160	0.000457191
161	161	0.000454449
162	162	0.00045174
163	163	0.000449063
164	164	0.000446417
165	165	0.000443802
166	166	0.000441218
167	167	0.000438663
168	168	0.000436138
169	169	0.000433642
170	170	0.000431174
171	171	0.000428734
172	172	0.000426321
173	173	0.000423936
174	174	0.000421577
175	175	0.000419244
176	176	0.000416936
177	177	0.000414654
178	178	0.000412397
179	179	0.000410164
180	180	0.000407955
181	181	0.00040577
182	182	0.000403608
183	183	0.000401469
184	184	0.000399353
185	185	0.000397258
186	186	0.000395186
187	187	0.000393135
188	188	0.000391105
189	189	0.000389096
190	190	0.000387108
191	191	0.000385139
192	192	0.000383191
193	193	0.000381262
194	194	0.000379353
195	195	0.000377462
196	196	0.000375591
197	197	0.000373737
198	198	0.000371902
199	199	0.000370085
