u = $exp(x)+t$, lambda = $u^2$
t	ru	iu	r1	i1	r2	i2	r3	i3	r4	i4
0.001	0.000987869	46	0.00197574	92	0.00197574	62	0.00197574	42	0.00197574	45
0.002	0.000987869	46	0.00197574	92	0.00197574	62	0.00197574	68	0.00197574	92
0.003	0.000987869	46	0.00197574	92	0.00197574	62	0.00197574	92	0.00197574	43
0.004	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	55	0.00197574	43
0.005	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	47	0.00197574	42
0.006	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	45	0.00197574	42
0.007	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	44	0.00197574	43
0.008	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	46	0.00197574	45
0.009	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	46	0.00197574	54
0.01	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	55	0.00197574	57
0.011	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	65	0.00197574	44
0.012	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	58	0.00197574	44
0.013	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	54	0.00197574	43
0.014	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	50	0.00197574	43
0.015	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	47	0.00197574	43
0.016	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	49	0.00197574	43
0.017	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	48	0.00197574	43
0.018	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	47	0.00197574	43
0.019	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	46	0.00197574	43
0.02	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	45	0.00197574	43
0.021	0.000987869	46	0.00197574	91	0.00197574	92	0.00197574	45	0.00197574	43
0.022	0.000987869	46	0.00197574	82	0.00197574	92	0.00197574	43	0.00197574	43
0.023	0.000987869	46	0.00197574	73	0.00197574	92	0.00197574	44	0.00197574	43
0.024	0.000987869	46	0.00197574	66	0.00197574	92	0.00197574	48	0.00197574	43
0.025	0.000987869	46	0.00197574	57	0.00197574	92	0.00197574	45	0.00197574	43
0.026	0.000987869	46	0.00197574	57	0.00197574	92	0.00197574	44	0.00197574	45
0.027	0.000987869	46	0.00197574	60	0.00197574	92	0.00197574	44	0.00197574	45
0.028	0.000987869	46	0.00197574	58	0.00197574	92	0.00197574	69	0.00197574	45
0.029	0.000987869	46	0.00197574	60	0.00197574	92	0.00197574	67	0.00197574	45
0.03	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	66	0.00197574	45
0.031	0.000987869	46	0.00197574	50	0.00197574	92	0.00197574	63	0.00197574	44
0.032	0.000987869	46	0.00197574	54	0.00197574	92	0.00197574	60	0.00197574	44
0.033	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	61	0.00197574	44
0.034	0.000987869	46	0.00197574	47	0.00197574	92	0.00197574	59	0.00197574	44
0.035	0.000987869	46	0.00197574	46	0.00197574	92	0.00197574	57	0.00197574	44
0.036	0.000987869	46	0.00197574	48	0.00197574	92	0.00197574	55	0.00197574	44
0.037	0.000987869	46	0.00197574	44	0.00197574	92	0.00197574	54	0.00197574	44
0.038	0.000987869	46	0.00197574	45	0.00197574	92	0.00197574	55	0.00197574	44
0.039	0.000987869	46	0.00197574	45	0.00197574	92	0.00197574	53	0.00197574	44
0.04	0.000987869	46	0.00197574	48	0.00197574	92	0.00197574	51	0.00197574	44
0.041	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	50	0.00197574	44
0.042	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	50	0.00197574	44
0.043	0.000987869	46	0.00197574	59	0.00197574	92	0.00197574	50	0.00197574	44
0.044	0.000987869	46	0.00197574	77	0.00197574	92	0.00197574	49	0.00197574	44
0.045	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	49	0.00197574	44
0.046	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	48	0.00197574	44
0.047	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	48	0.00197574	44
0.048	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	48	0.00197574	44
0.049	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	49	0.00197574	44
0.05	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	49	0.00197574	44
0.051	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	49	0.00197574	44
0.052	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	49	0.00197574	44
0.053	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	48	0.00197574	44
0.054	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	48	0.00197574	44
0.055	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	48	0.00197574	44
0.056	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	48	0.00197574	44
0.057	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	47	0.00197574	44
0.058	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	46	0.00197574	44
0.059	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	46	0.00197574	44
0.06	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	46	0.00197574	44
0.061	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	46	0.00197574	44
0.062	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	45	0.00197574	44
0.063	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	45	0.00197574	44
0.064	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	45	0.00197574	44
0.065	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	45	0.00197574	44
0.066	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	44	0.00197574	44
0.067	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	44	0.00197574	44
0.068	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	44	0.00197574	44
0.069	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	44	0.00197574	44
0.07	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	44	0.00197574	44
0.071	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	45	0.00197574	44
0.072	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	45	0.00197574	44
0.073	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	45	0.00197574	44
0.074	0.000987869	46	0.00197574	92	0.00197574	92	0.00197574	46	0.00197574	44
0.075	0.000987869	46	0.00197574	59	0.00197574	92	0.00197574	46	0.00197574	44
0.076	0.000987869	46	0.00197574	63	0.00197574	92	0.00197574	45	0.00197574	44
0.077	0.000987869	46	0.00197574	61	0.00197574	92	0.00197574	45	0.00197574	44
0.078	0.000987869	46	0.00197574	62	0.00197574	92	0.00197574	45	0.00197574	44
0.079	0.000987869	46	0.00197574	57	0.00197574	92	0.00197574	45	0.00197574	44
0.08	0.000987869	46	0.00197574	53	0.00197574	92	0.00197574	45	0.00197574	44
0.081	0.000987869	46	0.00197574	50	0.00197574	92	0.00197574	44	0.00197574	44
0.082	0.000987869	46	0.00197574	52	0.00197574	92	0.00197574	44	0.00197574	44
0.083	0.000987869	46	0.00197574	51	0.00197574	92	0.00197574	44	0.00197574	44
0.084	0.000987869	46	0.00197574	50	0.00197574	92	0.00197574	44	0.00197574	44
0.085	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	44	0.00197574	44
0.086	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	44	0.00197574	44
0.087	0.000987869	46	0.00197574	50	0.00197574	92	0.00197574	44	0.00197574	44
0.088	0.000987869	46	0.00197574	50	0.00197574	92	0.00197574	44	0.00197574	44
0.089	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	44	0.00197574	44
0.09	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	44	0.00197574	44
0.091	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	44	0.00197574	44
0.092	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	44	0.00197574	44
0.093	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	44	0.00197574	45
0.094	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	44	0.00197574	45
0.095	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	44	0.00197574	45
0.096	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	44	0.00197574	45
0.097	0.000987869	46	0.00197574	48	0.00197574	92	0.00197574	44	0.00197574	45
0.098	0.000987869	46	0.00197574	47	0.00197574	92	0.00197574	44	0.00197574	45
0.099	0.000987869	46	0.00197574	48	0.00197574	92	0.00197574	44	0.00197574	45
0.1	0.000987869	46	0.00197574	44	0.00197574	92	0.00197574	43	0.00197574	45
0.101	0.000987869	46	0.00197574	40	0.00197574	92	0.00197574	43	0.00197574	45
0.102	0.000987869	46	0.00197574	39	0.00197574	92	0.00197574	43	0.00197574	45
0.103	0.000987869	46	0.00197574	38	0.00197574	92	0.00197574	43	0.00197574	45
0.104	0.000987869	46	0.00197574	36	0.00197574	92	0.00197574	43	0.00197574	45
0.105	0.000987869	46	0.00197574	35	0.00197574	92	0.00197574	43	0.00197574	45
0.106	0.000987869	46	0.00197574	36	0.00197574	92	0.00197574	43	0.00197574	45
0.107	0.000987869	46	0.00197574	36	0.00197574	92	0.00197574	43	0.00197574	45
0.108	0.000987869	46	0.00197574	39	0.00197574	92	0.00197574	43	0.00197574	45
0.109	0.000987869	46	0.00197574	44	0.00197574	92	0.00197574	43	0.00197574	45
0.11	0.000987869	46	0.00197574	44	0.00197574	92	0.00197574	43	0.00197574	45
0.111	0.000987869	46	0.00197574	45	0.00197574	92	0.00197574	43	0.00197574	45
0.112	0.000987869	46	0.00197574	48	0.00197574	92	0.00197574	43	0.00197574	45
0.113	0.000987869	46	0.00197574	49	0.00197574	92	0.00197574	43	0.00197574	45
