u = $e^x+t^3$, lambda = $u$
t	ru	iu	r1	i1	r2	i2	r3	i3	r4	i4
0.001	0.223972	27	0.289331	13	nan	1010	0.208025	19	0.271368	19
0.002	0.223972	27	0.279745	13	nan	1010	0.208758	20	0.267783	19
0.003	0.223972	27	0.27145	13	nan	1010	0.207938	20	0.265517	20
0.004	0.223972	27	0.264243	13	0.300496	14	0.207303	20	0.26383	20
0.005	0.223972	27	0.257957	13	0.300496	14	0.206862	21	0.262475	19
0.006	0.223972	27	0.252458	13	0.300496	13	0.206408	21	0.261338	20
0.007	0.223972	27	0.247632	13	0.300496	13	0.207938	22	0.260356	20
0.008	0.223972	27	0.243386	13	0.300497	13	0.207604	22	0.25949	21
0.009	0.223972	27	0.239638	13	0.300499	13	0.207293	22	0.258716	22
0.01	0.223972	27	0.236323	13	0.300504	13	0.207001	22	0.258012	22
0.011	0.223972	27	0.233383	13	0.300516	13	0.206725	22	0.257368	22
0.012	0.223972	27	0.230769	13	0.30054	13	0.206463	22	0.256773	23
0.013	0.223972	27	0.22844	13	0.300582	13	0.206214	22	0.256221	22
0.014	0.223972	27	0.22636	13	0.300648	13	0.205976	22	0.255706	22
0.015	0.223972	27	0.224499	13	0.300742	13	0.205747	22	0.255222	22
0.016	0.223972	27	0.22283	13	0.300867	13	0.205528	22	0.254766	22
0.017	0.223972	27	0.22133	13	0.301024	13	0.207499	23	0.254335	23
0.018	0.223972	27	0.21998	13	0.301211	13	0.207328	23	0.253926	23
0.019	0.223972	27	0.218762	13	0.301421	13	0.207161	23	0.253537	23
0.02	0.223972	27	0.217662	13	0.301647	13	0.206996	23	0.253166	23
0.021	0.223972	27	0.216666	13	0.301882	13	0.206835	23	0.252811	23
0.022	0.223972	27	0.215762	13	0.302116	13	0.206676	23	0.252471	23
0.023	0.223972	27	0.214941	13	0.302415	14	0.20652	23	0.252145	23
0.024	0.223972	27	0.214194	13	0.302642	14	0.206367	23	0.251832	23
0.025	0.223972	27	0.213513	13	0.302848	14	0.206216	23	0.25153	23
0.026	0.223972	27	0.213435	14	0.303031	14	0.206114	24	0.251239	23
