u = $x^4+t$, lambda = $u^2$
t	ru	iu	r1	i1	r2	i2	r3	i3	r4	i4
0.001	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	57
0.002	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	116
0.003	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	70
0.004	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.707447	138
0.005	0.361049	69	0.722098	138	0.722098	138	0.722098	118	0.206282	52
0.006	0.361049	69	0.722098	138	0.722098	138	0.722098	46	0.640665	50
0.007	0.361049	69	0.722098	138	0.722098	138	0.722098	36	0.722098	48
0.008	0.361049	69	0.722098	138	0.722098	138	0.722098	41	0.722098	50
0.009	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	52
0.01	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	56
0.011	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.012	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.013	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	69
0.014	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.542092	65
0.015	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.335821	64
0.016	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.199778	62
0.017	0.361049	69	0.722098	138	0.722098	138	0.572952	81	0.265858	57
0.018	0.361049	69	0.722098	138	0.722098	138	0.722098	59	0.449862	56
0.019	0.361049	69	0.722098	138	0.722098	138	0.722098	46	0.658541	56
0.02	0.361049	69	0.722098	138	0.722098	138	0.722098	46	0.722098	54
0.021	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	54
0.022	0.361049	69	0.722098	138	0.722098	138	0.722098	47	0.722098	53
0.023	0.361049	69	0.722098	138	0.722098	138	0.722098	50	0.722098	52
0.024	0.361049	69	0.722098	138	0.722098	138	0.722098	43	0.722098	52
0.025	0.361049	69	0.722098	138	0.722098	138	0.722098	37	0.722098	52
0.026	0.361049	69	0.722098	138	0.722098	138	0.722098	37	0.722098	53
0.027	0.361049	69	0.722098	138	0.722098	138	0.722098	38	0.722098	54
0.028	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.029	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.03	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.031	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.032	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.033	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.034	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.035	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.036	0.361049	69	0.722098	53	0.722098	138	0.722098	138	0.722098	138
0.037	0.361049	69	0.722098	48	0.722098	138	0.722098	138	0.722098	138
0.038	0.361049	69	0.722098	46	0.722098	138	0.722098	138	0.722098	138
0.039	0.361049	69	0.722098	46	0.722098	138	0.722098	138	0.722098	138
0.04	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.041	0.361049	69	0.722098	49	0.722098	138	0.722098	138	0.722098	138
0.042	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.043	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.695429	73
0.044	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.608873	71
0.045	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.524765	81
0.046	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.443725	138
0.047	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.366953	68
0.048	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.296843	112
0.049	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.238268	65
0.05	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.200401	66
0.051	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.194566	64
0.052	0.361049	69	0.722098	138	0.722098	138	0.722098	98	0.222402	61
0.053	0.361049	69	0.722098	138	0.722098	138	0.60258	87	0.273152	62
0.054	0.361049	69	0.722098	138	0.722098	138	0.231556	75	0.336094	61
0.055	0.361049	69	0.722098	138	0.722098	138	0.511286	69	0.40519	60
0.056	0.361049	69	0.722098	138	0.722098	138	0.722098	61	0.477455	59
0.057	0.361049	69	0.722098	138	0.722098	138	0.722098	57	0.551382	58
0.058	0.361049	69	0.722098	138	0.722098	138	0.722098	56	0.62616	58
0.059	0.361049	69	0.722098	138	0.722098	138	0.722098	56	0.701329	58
0.06	0.361049	69	0.722098	138	0.722098	138	0.722098	55	0.722098	57
0.061	0.361049	69	0.722098	138	0.722098	138	0.722098	55	0.722098	57
0.062	0.361049	69	0.722098	138	0.722098	138	0.722098	53	0.722098	56
0.063	0.361049	69	0.722098	138	0.722098	138	0.722098	48	0.722098	56
0.064	0.361049	69	0.722098	138	0.722098	138	0.722098	46	0.722098	56
0.065	0.361049	69	0.722098	138	0.722098	138	0.722098	46	0.722098	56
0.066	0.361049	69	0.722098	138	0.722098	138	0.722098	46	0.722098	56
0.067	0.361049	69	0.722098	138	0.722098	138	0.722098	46	0.722098	56
0.068	0.361049	69	0.722098	138	0.722098	138	0.722098	46	0.722098	56
0.069	0.361049	69	0.722098	138	0.722098	138	0.722098	46	0.722098	55
0.07	0.361049	69	0.722098	138	0.722098	138	0.722098	46	0.722098	55
0.071	0.361049	69	0.722098	138	0.722098	138	0.722098	46	0.722098	55
0.072	0.361049	69	0.722098	138	0.722098	138	0.722098	46	0.722098	55
0.073	0.361049	69	0.722098	138	0.722098	138	0.722098	46	0.722098	55
0.074	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	55
0.075	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	55
0.076	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	55
0.077	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	55
0.078	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	55
0.079	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	55
0.08	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	55
0.081	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	55
0.082	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	55
0.083	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	55
0.084	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	55
0.085	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	55
0.086	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	55
0.087	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	55
0.088	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	54
0.089	0.361049	69	0.722098	138	0.722098	71	0.722098	45	0.722098	54
0.09	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	54
0.091	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	54
0.092	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	54
0.093	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	54
0.094	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	54
0.095	0.361049	69	0.722098	138	0.722098	138	0.722098	45	0.722098	54
0.096	0.361049	69	0.722098	138	0.722098	138	0.722098	44	0.722098	54
0.097	0.361049	69	0.722098	138	0.722098	138	0.722098	44	0.722098	54
0.098	0.361049	69	0.722098	138	0.722098	138	0.722098	44	0.722098	54
0.099	0.361049	69	0.722098	138	0.722098	138	0.722098	44	0.722098	54
0.1	0.361049	69	0.722098	138	0.722098	138	0.722098	44	0.722098	54
0.101	0.361049	69	0.722098	138	0.722098	138	0.722098	44	0.722098	54
0.102	0.361049	69	0.722098	112	0.722098	138	0.722098	45	0.722098	54
0.103	0.361049	69	0.722098	66	0.722098	138	0.722098	45	0.722098	54
0.104	0.361049	69	0.722098	55	0.722098	138	0.722098	45	0.722098	54
0.105	0.361049	69	0.722098	50	0.722098	138	0.722098	44	0.722098	54
0.106	0.361049	69	0.675922	48	0.722098	138	0.722098	43	0.722098	54
0.107	0.361049	69	0.432854	46	0.722098	138	0.722098	43	0.722098	54
0.108	0.361049	69	0.51113	44	0.722098	138	0.722098	42	0.722098	54
0.109	0.361049	69	0.722098	45	0.722098	138	0.722098	42	0.722098	54
0.11	0.361049	69	0.722098	47	0.722098	138	0.722098	41	0.722098	54
0.111	0.361049	69	0.722098	46	0.722098	138	0.722098	41	0.722098	54
0.112	0.361049	69	0.722098	52	0.722098	138	0.722098	41	0.722098	54
0.113	0.361049	69	0.722098	58	0.722098	138	0.722098	40	0.722098	54
0.114	0.361049	69	0.722098	60	0.722098	138	0.722098	40	0.722098	54
0.115	0.361049	69	0.722098	60	0.722098	138	0.722098	40	0.722098	54
0.116	0.361049	69	0.722098	65	0.722098	138	0.722098	40	0.722098	54
0.117	0.361049	69	0.722098	138	0.722098	138	0.722098	39	0.722098	54
0.118	0.361049	69	0.722098	138	0.722098	138	0.722098	39	0.722098	54
0.119	0.361049	69	0.722098	138	0.722098	138	0.722098	39	0.722098	54
0.12	0.361049	69	0.722098	138	0.722098	138	0.722098	39	0.722098	54
0.121	0.361049	69	0.722098	138	0.722098	138	0.722098	39	0.722098	54
0.122	0.361049	69	0.722098	138	0.722098	138	0.722098	39	0.722098	54
0.123	0.361049	69	0.722098	138	0.722098	138	0.722098	39	0.722098	54
0.124	0.361049	69	0.722098	138	0.722098	74	0.722098	39	0.722098	54
0.125	0.361049	69	0.722098	138	0.722098	75	0.722098	39	0.722098	54
0.126	0.361049	69	0.722098	138	0.722098	76	0.722098	39	0.722098	54
0.127	0.361049	69	0.722098	138	0.722098	77	0.722098	39	0.722098	54
0.128	0.361049	69	0.722098	138	0.722098	78	0.722098	39	0.722098	54
0.129	0.361049	69	0.722098	138	0.722098	79	0.722098	39	0.722098	54
0.13	0.361049	69	0.722098	138	0.722098	79	0.722098	39	0.722098	54
0.131	0.361049	69	0.722098	138	0.722098	63	0.722098	39	0.722098	54
0.132	0.361049	69	0.722098	138	0.722098	62	0.722098	39	0.722098	54
0.133	0.361049	69	0.722098	138	0.722098	64	0.722098	39	0.722098	54
0.134	0.361049	69	0.722098	138	0.722098	59	0.722098	40	0.722098	54
0.135	0.361049	69	0.722098	138	0.722098	66	0.722098	138	0.722098	138
0.136	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.137	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.138	0.361049	69	0.722098	138	0.722098	138	0.722098	138	0.722098	138
0.139	0.361049	69	0.722098	52	0.722098	138	0.722098	138	0.722098	138
0.14	0.361049	69	0.722098	49	0.722098	138	0.722098	138	0.722098	138
0.141	0.361049	69	0.600782	49	0.722098	138	0.722098	138	0.722098	138
0.142	0.361049	69	0.482744	49	0.722098	138	0.722098	138	0.722098	138
0.143	0.361049	69	0.426947	52	0.722098	138	0.722098	138	0.722098	138
0.144	0.361049	69	0.468526	138	0.722098	138	0.722098	138	0.722098	138
