t	norma	normb	norm
0.001	0.00703679	0.0121436	6.29147e-05
0.002	0.823973	1.44091	6.29147e-05
0.003	0.482335	0.798232	6.29147e-05
0.004	0.303786	0.501736	6.29147e-05
0.005	0.144724	0.238759	6.29147e-05
0.006	0.000690585	0.000594345	6.29147e-05
0.007	0.134568	0.219621	6.29147e-05
0.008	0.260157	0.424138	6.29147e-05
0.009	0.378544	0.615934	6.29147e-05
0.01	0.49079	0.796852	6.29147e-05
0.011	0.597696	0.968289	6.29147e-05
0.012	0.289546	0.453994	6.29147e-05
0.013	0.238098	0.37249	6.29147e-05
0.014	0.188915	0.294923	6.29147e-05
0.015	0.141776	0.220914	6.29147e-05
0.016	0.0964983	0.150142	6.29147e-05
0.017	0.0529417	0.0823349	6.29147e-05
0.018	0.0110355	0.0172667	6.29147e-05
0.019	0.0296116	0.0452873	6.29147e-05
0.02	0.0687948	0.105483	6.29147e-05
0.021	0.106709	0.163484	6.29147e-05
0.022	0.143433	0.219428	6.29147e-05
0.023	0.179036	0.27344	6.29147e-05
0.024	0.213581	0.325631	6.29147e-05
0.025	0.247123	0.3761	6.29147e-05
0.026	0.279714	0.424939	6.29147e-05
0.027	0.3114	0.472229	6.29147e-05
0.028	0.342223	0.518047	6.29147e-05
0.029	0.383	0.564852	6.29147e-05
0.03	0.364403	0.536505	6.29147e-05
0.031	0.346242	0.508909	6.29147e-05
0.032	0.328499	0.48203	6.29147e-05
0.033	0.311157	0.455836	6.29147e-05
0.034	0.294198	0.430297	6.29147e-05
0.035	0.277607	0.405387	6.29147e-05
0.036	0.261371	0.38108	6.29147e-05
0.037	0.245475	0.357353	6.29147e-05
0.038	0.229908	0.334182	6.29147e-05
0.039	0.214657	0.311548	6.29147e-05
0.04	0.199712	0.28943	6.29147e-05
0.041	0.185063	0.26781	6.29147e-05
0.042	0.170699	0.246672	6.29147e-05
0.043	0.156612	0.225998	6.29147e-05
0.044	0.142793	0.205773	6.29147e-05
0.045	0.129233	0.185982	6.29147e-05
0.046	0.115925	0.166612	6.29147e-05
0.047	0.102862	0.14765	6.29147e-05
0.048	0.0900365	0.129083	6.29147e-05
0.049	0.0774417	0.110898	6.29147e-05
0.05	0.0650714	0.0930857	6.29147e-05
0.051	0.0529199	0.0756341	6.29147e-05
0.052	0.0409833	0.0585332	6.29147e-05
0.053	0.0292583	0.0417732	6.29147e-05
0.054	0.0177417	0.0253446	6.29147e-05
0.055	0.00643804	0.00924429	6.29147e-05
0.056	0.00475574	0.00655374	6.29147e-05
0.057	0.0157095	0.0220403	6.29147e-05
0.058	0.0264804	0.0372291	6.29147e-05
0.059	0.0370727	0.0521278	6.29147e-05
0.06	0.0474905	0.0667436	6.29147e-05
0.061	0.0577377	0.0810835	6.29147e-05
0.062	0.0678182	0.0951544	6.29147e-05
0.063	0.0777356	0.108963	6.29147e-05
0.064	0.0874935	0.122514	6.29147e-05
0.065	0.0970952	0.135816	6.29147e-05
0.066	0.106544	0.148873	6.29147e-05
0.067	0.115843	0.161691	6.29147e-05
0.068	0.124996	0.174275	6.29147e-05
0.069	0.134005	0.186632	6.29147e-05
0.07	0.142874	0.198764	6.29147e-05
0.071	0.151604	0.210679	6.29147e-05
0.072	0.1602	0.22238	6.29147e-05
0.073	0.168662	0.233872	6.29147e-05
0.074	0.176995	0.245159	6.29147e-05
0.075	0.1852	0.256246	6.29147e-05
0.076	0.193279	0.267137	6.29147e-05
0.077	0.201236	0.277835	6.29147e-05
0.078	0.209072	0.288346	6.29147e-05
0.079	0.21679	0.298672	6.29147e-05
0.08	0.224391	0.308817	6.29147e-05
0.081	0.231878	0.318785	6.29147e-05
0.082	0.239253	0.32858	6.29147e-05
0.083	0.246518	0.338204	6.29147e-05
0.084	0.253674	0.347661	6.29147e-05
0.085	0.260723	0.356954	6.29147e-05
0.086	0.267668	0.366087	6.29147e-05
0.087	0.274509	0.375062	6.29147e-05
0.088	0.28125	0.383882	6.29147e-05
0.089	0.287891	0.39255	6.29147e-05
0.09	0.294434	0.40107	6.29147e-05
0.091	0.30088	0.409443	6.29147e-05
0.092	0.307232	0.417672	6.29147e-05
0.093	0.31349	0.42576	6.29147e-05
0.094	0.319657	0.43371	6.29147e-05
0.095	0.325733	0.441523	6.29147e-05
0.096	0.33172	0.449203	6.29147e-05
0.097	0.337619	0.456752	6.29147e-05
0.098	0.343433	0.464171	6.29147e-05
0.099	0.349161	0.471464	6.29147e-05
0.1	0.354806	0.478632	6.29147e-05
0.101	0.360369	0.485678	6.29147e-05
0.102	0.36585	0.492603	6.29147e-05
0.103	0.371252	0.49941	6.29147e-05
0.104	0.376575	0.5061	6.29147e-05
0.105	0.38182	0.512676	6.29147e-05
0.106	0.386989	0.519139	6.29147e-05
0.107	0.392083	0.525492	6.29147e-05
0.108	0.397102	0.531736	6.29147e-05
0.109	0.402048	0.537873	6.29147e-05
0.11	0.406923	0.543904	6.29147e-05
0.111	0.411726	0.549832	6.29147e-05
0.112	0.416459	0.555658	6.29147e-05
0.113	0.421123	0.561383	6.29147e-05
0.114	0.425719	0.56701	6.29147e-05
0.115	0.430248	0.57254	6.29147e-05
0.116	0.434711	0.577974	6.29147e-05
0.117	0.439108	0.583314	6.29147e-05
0.118	0.443441	0.588561	6.29147e-05
0.119	0.447711	0.593717	6.29147e-05
0.12	0.451917	0.598783	6.29147e-05
0.121	0.456062	0.603761	6.29147e-05
0.122	0.460147	0.608652	6.29147e-05
0.123	0.464171	0.613457	6.29147e-05
0.124	0.468135	0.618178	6.29147e-05
0.125	0.472041	0.622815	6.29147e-05
0.126	0.47589	0.627371	6.29147e-05
0.127	0.479681	0.631846	6.29147e-05
0.128	0.483416	0.636242	6.29147e-05
0.129	0.487095	0.64056	6.29147e-05
0.13	0.49072	0.6448	6.29147e-05
0.131	0.494291	0.648965	6.29147e-05
0.132	0.497808	0.653055	6.29147e-05
0.133	0.501273	0.657071	6.29147e-05
0.134	0.504685	0.661014	6.29147e-05
0.135	0.508047	0.664887	6.29147e-05
0.136	0.360485	0.462563	6.29147e-05
0.137	0.357063	0.457852	6.29147e-05
0.138	0.353668	0.453182	6.29147e-05
0.139	0.350298	0.448554	6.29147e-05
0.14	0.346955	0.443966	6.29147e-05
0.141	0.343636	0.439418	6.29147e-05
0.142	0.340343	0.434909	6.29147e-05
0.143	0.337075	0.430439	6.29147e-05
0.144	0.333831	0.426008	6.29147e-05
0.145	0.330612	0.421616	6.29147e-05
0.146	0.327416	0.417261	6.29147e-05
0.147	0.324245	0.412943	6.29147e-05
0.148	0.321098	0.408662	6.29147e-05
0.149	0.317974	0.404417	6.29147e-05
0.15	0.314873	0.400209	6.29147e-05
0.151	0.311795	0.396037	6.29147e-05
0.152	0.30874	0.391899	6.29147e-05
0.153	0.305707	0.387797	6.29147e-05
0.154	0.302697	0.383729	6.29147e-05
0.155	0.299709	0.379696	6.29147e-05
0.156	0.296743	0.375696	6.29147e-05
0.157	0.293799	0.37173	6.29147e-05
0.158	0.290876	0.367796	6.29147e-05
0.159	0.287975	0.363896	6.29147e-05
0.16	0.285094	0.360028	6.29147e-05
0.161	0.282235	0.356192	6.29147e-05
0.162	0.279396	0.352388	6.29147e-05
0.163	0.276578	0.348615	6.29147e-05
0.164	0.273781	0.344874	6.29147e-05
0.165	0.271003	0.341163	6.29147e-05
0.166	0.268246	0.337482	6.29147e-05
0.167	0.265508	0.333832	6.29147e-05
0.168	0.26279	0.330212	6.29147e-05
0.169	0.260091	0.326621	6.29147e-05
0.17	0.257412	0.32306	6.29147e-05
0.171	0.254752	0.319527	6.29147e-05
0.172	0.252111	0.316023	6.29147e-05
0.173	0.249489	0.312548	6.29147e-05
0.174	0.246885	0.309101	6.29147e-05
0.175	0.2443	0.305681	6.29147e-05
0.176	0.241733	0.302289	6.29147e-05
0.177	0.239184	0.298925	6.29147e-05
0.178	0.236654	0.295587	6.29147e-05
0.179	0.234141	0.292277	6.29147e-05
0.18	0.231646	0.288992	6.29147e-05
0.181	0.229169	0.285735	6.29147e-05
0.182	0.226709	0.282503	6.29147e-05
0.183	0.224266	0.279297	6.29147e-05
0.184	0.22184	0.276116	6.29147e-05
0.185	0.219432	0.272961	6.29147e-05
0.186	0.21704	0.269831	6.29147e-05
0.187	0.214665	0.266726	6.29147e-05
0.188	0.212307	0.263645	6.29147e-05
0.189	0.209965	0.260589	6.29147e-05
0.19	0.207639	0.257556	6.29147e-05
0.191	0.205329	0.254548	6.29147e-05
0.192	0.203036	0.251564	6.29147e-05
0.193	0.200759	0.248603	6.29147e-05
0.194	0.198497	0.245665	6.29147e-05
0.195	0.196251	0.24275	6.29147e-05
0.196	0.194021	0.239858	6.29147e-05
0.197	0.191806	0.236989	6.29147e-05
0.198	0.189606	0.234142	6.29147e-05
0.199	0.187421	0.231318	6.29147e-05
0.2	0.185252	0.228516	6.29147e-05
0.201	0.183098	0.225735	6.29147e-05
0.202	0.180958	0.222976	6.29147e-05
0.203	0.178833	0.220239	6.29147e-05
0.204	0.176723	0.217523	6.29147e-05
0.205	0.174627	0.214828	6.29147e-05
0.206	0.172546	0.212154	6.29147e-05
0.207	0.170479	0.2095	6.29147e-05
0.208	0.168426	0.206867	6.29147e-05
0.209	0.166387	0.204255	6.29147e-05
0.21	0.164362	0.201663	6.29147e-05
0.211	0.162351	0.199091	6.29147e-05
0.212	0.160354	0.196538	6.29147e-05
0.213	0.15837	0.194006	6.29147e-05
0.214	0.1564	0.191493	6.29147e-05
0.215	0.154444	0.188999	6.29147e-05
0.216	0.152501	0.186524	6.29147e-05
0.217	0.150571	0.184069	6.29147e-05
0.218	0.148654	0.181632	6.29147e-05
0.219	0.14675	0.179214	6.29147e-05
0.22	0.144859	0.176815	6.29147e-05
0.221	0.142982	0.174434	6.29147e-05
0.222	0.141116	0.172071	6.29147e-05
0.223	0.139264	0.169726	6.29147e-05
0.224	0.137424	0.1674	6.29147e-05
0.225	0.135597	0.165091	6.29147e-05
0.226	0.133782	0.1628	6.29147e-05
0.227	0.131979	0.160526	6.29147e-05
0.228	0.130189	0.158269	6.29147e-05
0.229	0.128411	0.15603	6.29147e-05
0.23	0.126645	0.153808	6.29147e-05
0.231	0.124891	0.151603	6.29147e-05
0.232	0.123149	0.149415	6.29147e-05
0.233	0.121418	0.147243	6.29147e-05
0.234	0.1197	0.145088	6.29147e-05
0.235	0.117993	0.142949	6.29147e-05
0.236	0.116297	0.140827	6.29147e-05
0.237	0.114613	0.138721	6.29147e-05
0.238	0.112941	0.136631	6.29147e-05
0.239	0.111279	0.134556	6.29147e-05
0.24	0.10963	0.132498	6.29147e-05
0.241	0.107991	0.130455	6.29147e-05
0.242	0.106363	0.128427	6.29147e-05
0.243	0.104746	0.126415	6.29147e-05
0.244	0.103141	0.124419	6.29147e-05
0.245	0.101546	0.122437	6.29147e-05
0.246	0.099962	0.120471	6.29147e-05
0.247	0.0983887	0.118519	6.29147e-05
0.248	0.0968261	0.116582	6.29147e-05
0.249	0.095274	0.11466	6.29147e-05
0.25	0.0937325	0.112753	6.29147e-05
0.251	0.0922014	0.11086	6.29147e-05
0.252	0.0906807	0.108981	6.29147e-05
0.253	0.0891703	0.107116	6.29147e-05
0.254	0.0876702	0.105266	6.29147e-05
0.255	0.0861802	0.10343	6.29147e-05
0.256	0.0847003	0.101607	6.29147e-05
0.257	0.0832304	0.0997988	6.29147e-05
0.258	0.0817705	0.098004	6.29147e-05
0.259	0.0803206	0.0962228	6.29147e-05
0.26	0.0788804	0.0944551	6.29147e-05
0.261	0.07745	0.0927008	6.29147e-05
0.262	0.0760294	0.0909597	6.29147e-05
0.263	0.0746184	0.089232	6.29147e-05
0.264	0.0732169	0.0875172	6.29147e-05
0.265	0.071825	0.0858155	6.29147e-05
0.266	0.0704426	0.0841268	6.29147e-05
0.267	0.0690695	0.0824508	6.29147e-05
0.268	0.0677058	0.0807875	6.29147e-05
0.269	0.0663514	0.0791369	6.29147e-05
0.27	0.0650062	0.0774988	6.29147e-05
0.271	0.0636701	0.0758732	6.29147e-05
0.272	0.0623432	0.0742599	6.29147e-05
0.273	0.0610253	0.0726588	6.29147e-05
0.274	0.0597164	0.07107	6.29147e-05
0.275	0.0584164	0.0694932	6.29147e-05
