t	norma	normb	norm
0.001	0.106122	0.0482419	0.000919893
0.002	13.2057	6.00573	0.000919893
0.003	7.03031	3.43293	0.000919893
0.004	4.43818	2.1745	0.000919893
0.005	2.11951	1.03962	0.000919893
0.006	0.00568782	0.00890377	0.000919893
0.007	1.96856	0.98748	0.000919893
0.008	3.81299	1.91447	0.000919893
0.009	5.55499	2.79773	0.000919893
0.01	7.20967	3.64404	0.000919893
0.011	8.78846	4.45847	0.000919893
0.012	3.98255	2.10323	0.000919893
0.013	3.27166	1.73357	0.000919893
0.014	2.59341	1.37838	0.000919893
0.015	1.94468	1.03626	0.000919893
0.016	1.32283	0.706043	0.000919893
0.017	0.72562	0.386778	0.000919893
0.018	0.151163	0.0791813	0.000919893
0.019	0.402324	0.222365	0.000919893
0.02	0.936179	0.513532	0.000919893
0.021	1.45172	0.79654	0.000919893
0.022	1.95009	1.07188	0.000919893
0.023	2.4323	1.33998	0.000919893
0.024	2.89925	1.60123	0.000919893
0.025	3.35177	1.85597	0.000919893
0.026	3.79059	2.10453	0.000919893
0.027	4.21638	2.34719	0.000919893
0.028	4.62977	2.5842	0.000919893
0.029	4.88577	2.81582	0.000919893
0.03	4.64245	2.68235	0.000919893
0.031	4.4054	2.55171	0.000919893
0.032	4.17433	2.42379	0.000919893
0.033	3.949	2.29847	0.000919893
0.034	3.72914	2.17566	0.000919893
0.035	3.51454	2.05524	0.000919893
0.036	3.305	1.93714	0.000919893
0.037	3.1003	1.82126	0.000919893
0.038	2.90027	1.70754	0.000919893
0.039	2.70474	1.5959	0.000919893
0.04	2.51354	1.48627	0.000919893
0.041	2.32653	1.37858	0.000919893
0.042	2.14356	1.27278	0.000919893
0.043	1.96449	1.1688	0.000919893
0.044	1.7892	1.0666	0.000919893
0.045	1.61756	0.966124	0.000919893
0.046	1.44947	0.867319	0.000919893
0.047	1.28481	0.770142	0.000919893
0.048	1.12349	0.67455	0.000919893
0.049	0.965393	0.580499	0.000919893
0.05	0.810438	0.487953	0.000919893
0.051	0.658533	0.396872	0.000919893
0.052	0.509595	0.307221	0.000919893
0.053	0.363541	0.219019	0.000919893
0.054	0.220294	0.132348	0.000919893
0.055	0.0798364	0.0472916	0.000919893
0.056	0.0580718	0.0377583	0.000919893
0.057	0.193329	0.120749	0.000919893
0.058	0.326058	0.202497	0.000919893
0.059	0.45632	0.283027	0.000919893
0.06	0.584176	0.362365	0.000919893
0.061	0.709684	0.440536	0.000919893
0.062	0.832899	0.517564	0.000919893
0.063	0.953875	0.593472	0.000919893
0.064	1.07266	0.668281	0.000919893
0.065	1.18932	0.742014	0.000919893
0.066	1.30388	0.81469	0.000919893
0.067	1.4164	0.88633	0.000919893
0.068	1.52692	0.956952	0.000919893
0.069	1.63548	1.02658	0.000919893
0.07	1.74213	1.09522	0.000919893
0.071	1.84691	1.1629	0.000919893
0.072	1.94985	1.22963	0.000919893
0.073	2.051	1.29544	0.000919893
0.074	2.15039	1.36033	0.000919893
0.075	2.24806	1.42432	0.000919893
0.076	2.34403	1.48743	0.000919893
0.077	2.43836	1.54967	0.000919893
0.078	2.53105	1.61106	0.000919893
0.079	2.62216	1.6716	0.000919893
0.08	2.71171	1.73132	0.000919893
0.081	2.79972	1.79023	0.000919893
0.082	2.88623	1.84833	0.000919893
0.083	2.97127	1.90564	0.000919893
0.084	3.05486	1.96218	0.000919893
0.085	3.13704	2.01795	0.000919893
0.086	3.21782	2.07297	0.000919893
0.087	3.29723	2.12725	0.000919893
0.088	3.37529	2.1808	0.000919893
0.089	3.45204	2.23362	0.000919893
0.09	3.52749	2.28574	0.000919893
0.091	3.60166	2.33715	0.000919893
0.092	3.67459	2.38788	0.000919893
0.093	3.74628	2.43793	0.000919893
0.094	3.81676	2.4873	0.000919893
0.095	3.88606	2.53602	0.000919893
0.096	3.95419	2.58408	0.000919893
0.097	4.02117	2.6315	0.000919893
0.098	4.08703	2.67829	0.000919893
0.099	4.15177	2.72445	0.000919893
0.1	4.21542	2.76999	0.000919893
0.101	4.278	2.81493	0.000919893
0.102	4.33952	2.85926	0.000919893
0.103	4.4	2.903	0.000919893
0.104	4.45946	2.94616	0.000919893
0.105	4.51791	2.98874	0.000919893
0.106	4.57538	3.03075	0.000919893
0.107	4.63187	3.0722	0.000919893
0.108	4.6874	3.11309	0.000919893
0.109	4.74199	3.15344	0.000919893
0.11	4.79565	3.19324	0.000919893
0.111	4.84839	3.23251	0.000919893
0.112	4.90024	3.27125	0.000919893
0.113	4.9512	3.30947	0.000919893
0.114	5.00129	3.34718	0.000919893
0.115	5.05052	3.38438	0.000919893
0.116	5.0989	3.42108	0.000919893
0.117	5.14645	3.45728	0.000919893
0.118	5.19318	3.49299	0.000919893
0.119	5.2391	3.52822	0.000919893
0.12	5.28422	3.56297	0.000919893
0.121	5.32856	3.59725	0.000919893
0.122	5.37213	3.63106	0.000919893
0.123	5.41494	3.66441	0.000919893
0.124	5.457	3.69731	0.000919893
0.125	5.49832	3.72975	0.000919893
0.126	5.53891	3.76176	0.000919893
0.127	5.57878	3.79332	0.000919893
0.128	5.61795	3.82445	0.000919893
0.129	5.65642	3.85515	0.000919893
0.13	5.6942	3.88542	0.000919893
0.131	5.73131	3.91528	0.000919893
0.132	5.76775	3.94472	0.000919893
0.133	5.80353	3.97375	0.000919893
0.134	5.83866	4.00238	0.000919893
0.135	5.87316	4.03061	0.000919893
0.136	3.90428	2.74343	0.000919893
0.137	3.86464	2.71831	0.000919893
0.138	3.82536	2.69337	0.000919893
0.139	3.78641	2.6686	0.000919893
0.14	3.7478	2.64401	0.000919893
0.141	3.70952	2.61959	0.000919893
0.142	3.67157	2.59534	0.000919893
0.143	3.63395	2.57125	0.000919893
0.144	3.59665	2.54734	0.000919893
0.145	3.55966	2.52359	0.000919893
0.146	3.523	2.50001	0.000919893
0.147	3.48664	2.47658	0.000919893
0.148	3.45059	2.45332	0.000919893
0.149	3.41485	2.43022	0.000919893
0.15	3.3794	2.40728	0.000919893
0.151	3.34426	2.38449	0.000919893
0.152	3.30941	2.36186	0.000919893
0.153	3.27485	2.33939	0.000919893
0.154	3.24058	2.31706	0.000919893
0.155	3.2066	2.29489	0.000919893
0.156	3.1729	2.27287	0.000919893
0.157	3.13947	2.251	0.000919893
0.158	3.10633	2.22928	0.000919893
0.159	3.07346	2.2077	0.000919893
0.16	3.04086	2.18627	0.000919893
0.161	3.00853	2.16498	0.000919893
0.162	2.97646	2.14383	0.000919893
0.163	2.94466	2.12283	0.000919893
0.164	2.91311	2.10197	0.000919893
0.165	2.88183	2.08125	0.000919893
0.166	2.8508	2.06066	0.000919893
0.167	2.82002	2.04021	0.000919893
0.168	2.78949	2.0199	0.000919893
0.169	2.75921	1.99972	0.000919893
0.17	2.72917	1.97968	0.000919893
0.171	2.69938	1.95977	0.000919893
0.172	2.66982	1.93999	0.000919893
0.173	2.64051	1.92035	0.000919893
0.174	2.61143	1.90083	0.000919893
0.175	2.58258	1.88144	0.000919893
0.176	2.55397	1.86218	0.000919893
0.177	2.52558	1.84304	0.000919893
0.178	2.49742	1.82403	0.000919893
0.179	2.46948	1.80515	0.000919893
0.18	2.44177	1.78639	0.000919893
0.181	2.41428	1.76775	0.000919893
0.182	2.387	1.74924	0.000919893
0.183	2.35994	1.73084	0.000919893
0.184	2.3331	1.71257	0.000919893
0.185	2.30647	1.69441	0.000919893
0.186	2.28004	1.67638	0.000919893
0.187	2.25383	1.65846	0.000919893
0.188	2.22782	1.64066	0.000919893
0.189	2.20202	1.62297	0.000919893
0.19	2.17642	1.6054	0.000919893
0.191	2.15102	1.58794	0.000919893
0.192	2.12582	1.5706	0.000919893
0.193	2.10082	1.55336	0.000919893
0.194	2.07601	1.53624	0.000919893
0.195	2.0514	1.51923	0.000919893
0.196	2.02698	1.50233	0.000919893
0.197	2.00274	1.48554	0.000919893
0.198	1.9787	1.46886	0.000919893
0.199	1.95485	1.45229	0.000919893
0.2	1.93118	1.43582	0.000919893
0.201	1.90769	1.41946	0.000919893
0.202	1.88438	1.4032	0.000919893
0.203	1.86126	1.38705	0.000919893
0.204	1.83831	1.37101	0.000919893
0.205	1.81555	1.35506	0.000919893
0.206	1.79295	1.33922	0.000919893
0.207	1.77054	1.32348	0.000919893
0.208	1.74829	1.30785	0.000919893
0.209	1.72622	1.29231	0.000919893
0.21	1.70432	1.27687	0.000919893
0.211	1.68258	1.26153	0.000919893
0.212	1.66101	1.24629	0.000919893
0.213	1.63961	1.23115	0.000919893
0.214	1.61837	1.2161	0.000919893
0.215	1.5973	1.20115	0.000919893
0.216	1.57639	1.1863	0.000919893
0.217	1.55563	1.17154	0.000919893
0.218	1.53504	1.15688	0.000919893
0.219	1.5146	1.14231	0.000919893
0.22	1.49432	1.12783	0.000919893
0.221	1.4742	1.11345	0.000919893
0.222	1.45423	1.09916	0.000919893
0.223	1.43441	1.08496	0.000919893
0.224	1.41474	1.07085	0.000919893
0.225	1.39522	1.05683	0.000919893
0.226	1.37586	1.0429	0.000919893
0.227	1.35663	1.02906	0.000919893
0.228	1.33756	1.01531	0.000919893
0.229	1.31863	1.00165	0.000919893
0.23	1.29984	0.988071	0.000919893
0.231	1.2812	0.974582	0.000919893
0.232	1.2627	0.961179	0.000919893
0.233	1.24434	0.947861	0.000919893
0.234	1.22612	0.93463	0.000919893
0.235	1.20804	0.921482	0.000919893
0.236	1.19009	0.908419	0.000919893
0.237	1.17229	0.895439	0.000919893
0.238	1.15461	0.882543	0.000919893
0.239	1.13707	0.869728	0.000919893
0.24	1.11967	0.856996	0.000919893
0.241	1.10239	0.844346	0.000919893
0.242	1.08525	0.831776	0.000919893
0.243	1.06824	0.819287	0.000919893
0.244	1.05135	0.806878	0.000919893
0.245	1.0346	0.794548	0.000919893
0.246	1.01797	0.782298	0.000919893
