t	norma	normb	norm
0.001	1.95675	0.359918	0.0530631
0.002	6.3696	49.9795	0.0530631
0.003	4.42064	24.9752	0.0530631
0.004	3.16561	15.491	0.0530631
0.005	2.06684	7.2639	0.0530631
0.006	1.08961	0.0495528	0.0530631
0.007	1.77003	6.63471	0.0530631
0.008	2.50641	12.65	0.0530631
0.009	3.21437	18.1859	0.0530631
0.01	3.8937	23.3141	0.0530631
0.011	4.54717	28.0897	0.0530631
0.012	2.6877	12.3927	0.0530631
0.013	2.32911	10.0873	0.0530631
0.014	1.98737	7.92342	0.0530631
0.015	1.66091	5.88642	0.0530631
0.016	1.34846	3.96392	0.0530631
0.017	1.04903	2.14546	0.0530631
0.018	0.763427	0.423488	0.0530631
0.019	0.82188	1.21436	0.0530631
0.02	1.05423	2.77035	0.0530631
0.021	1.2844	4.25203	0.0530631
0.022	1.50994	5.66472	0.0530631
0.023	1.7304	7.0132	0.0530631
0.024	1.94553	8.30168	0.0530631
0.025	2.15553	9.53401	0.0530631
0.026	2.36049	10.7136	0.0530631
0.027	2.56059	11.8437	0.0530631
0.028	2.75609	12.927	0.0530631
0.029	3.06566	13.4081	0.0530631
0.03	2.93514	12.6764	0.0530631
0.031	2.80785	11.9698	0.0530631
0.032	2.68354	11.287	0.0530631
0.033	2.56208	10.6267	0.0530631
0.034	2.44335	9.98789	0.0530631
0.035	2.32719	9.36946	0.0530631
0.036	2.21365	8.77052	0.0530631
0.037	2.10247	8.19012	0.0530631
0.038	1.99359	7.62745	0.0530631
0.039	1.88698	7.08176	0.0530631
0.04	1.78256	6.55227	0.0530631
0.041	1.6802	6.03834	0.0530631
0.042	1.57989	5.5393	0.0530631
0.043	1.48153	5.05458	0.0530631
0.044	1.3851	4.58356	0.0530631
0.045	1.29052	4.12577	0.0530631
0.046	1.19777	3.68066	0.0530631
0.047	1.10682	3.24779	0.0530631
0.048	1.01756	2.82668	0.0530631
0.049	0.930006	2.41691	0.0530631
0.05	0.844105	2.0181	0.0530631
0.051	0.759786	1.62983	0.0530631
0.052	0.677038	1.25177	0.0530631
0.053	0.595867	0.883552	0.0530631
0.054	0.516165	0.525005	0.0530631
0.055	0.439237	0.176188	0.0530631
0.056	0.408197	0.165292	0.0530631
0.057	0.4742	0.497278	0.0530631
0.058	0.542254	0.82093	0.0530631
0.059	0.610174	1.13649	0.0530631
0.06	0.677543	1.44421	0.0530631
0.061	0.744128	1.74436	0.0530631
0.062	0.809981	2.03712	0.0530631
0.063	0.875011	2.32274	0.0530631
0.064	0.939195	2.60143	0.0530631
0.065	1.0025	2.87338	0.0530631
0.066	1.06501	3.13878	0.0530631
0.067	1.12666	3.39784	0.0530631
0.068	1.18746	3.65069	0.0530631
0.069	1.24742	3.89756	0.0530631
0.07	1.30663	4.13858	0.0530631
0.071	1.36502	4.37392	0.0530631
0.072	1.42262	4.60373	0.0530631
