t	norma	normb	norm
0.001	0.0186878	0.0643593	0.000300599
0.002	2.42608	7.78347	0.000300599
0.003	1.46617	4.1633	0.000300599
0.004	0.930559	2.62509	0.000300599
0.005	0.446401	1.25261	0.000300599
0.006	0.00226572	0.00325737	0.000300599
0.007	0.422073	1.15867	0.000300599
0.008	0.821026	2.24274	0.000300599
0.009	1.20228	3.26429	0.000300599
0.01	1.56864	4.23248	0.000300599
0.011	1.92218	5.15422	0.000300599
0.012	0.936035	2.34693	0.000300599
0.013	0.772871	1.92694	0.000300599
0.014	0.615641	1.5267	0.000300599
0.015	0.463772	1.1443	0.000300599
0.016	0.316784	0.778157	0.000300599
0.017	0.174275	0.426905	0.000300599
0.018	0.0360319	0.0893886	0.000300599
0.019	0.098637	0.235423	0.000300599
0.02	0.229591	0.548392	0.000300599
0.021	0.357187	0.850306	0.000300599
0.022	0.481621	1.14185	0.000300599
0.023	0.603069	1.42365	0.000300599
0.024	0.721686	1.69624	0.000300599
0.025	0.837612	1.96014	0.000300599
0.026	0.950972	2.21578	0.000300599
0.027	1.06188	2.46358	0.000300599
0.028	1.17044	2.70392	0.000300599
0.029	1.30603	2.8666	0.000300599
0.03	1.24537	2.72294	0.000300599
0.031	1.18589	2.58306	0.000300599
0.032	1.12754	2.44679	0.000300599
0.033	1.07027	2.31397	0.000300599
0.034	1.01404	2.18447	0.000300599
0.035	0.958807	2.05812	0.000300599
0.036	0.904546	1.93483	0.000300599
0.037	0.851218	1.81445	0.000300599
0.038	0.798791	1.69689	0.000300599
0.039	0.747238	1.58203	0.000300599
0.04	0.69653	1.46978	0.000300599
0.041	0.646641	1.36004	0.000300599
0.042	0.597548	1.25274	0.000300599
0.043	0.549227	1.14779	0.000300599
0.044	0.501657	1.0451	0.000300599
0.045	0.454817	0.94461	0.000300599
0.046	0.408689	0.846248	0.000300599
0.047	0.363253	0.749948	0.000300599
0.048	0.318493	0.655647	0.000300599
0.049	0.274391	0.563284	0.000300599
0.05	0.230932	0.472804	0.000300599
0.051	0.188101	0.384153	0.000300599
0.052	0.145884	0.297278	0.000300599
0.053	0.104266	0.212131	0.000300599
0.054	0.0632343	0.128665	0.000300599
0.055	0.0228426	0.0468533	0.000300599
0.056	0.0171188	0.0334045	0.000300599
0.057	0.0564641	0.112092	0.000300599
0.058	0.0952703	0.189267	0.000300599
0.059	0.133548	0.264969	0.000300599
0.06	0.171308	0.339235	0.000300599
0.061	0.208559	0.412098	0.000300599
0.062	0.245312	0.483594	0.000300599
0.063	0.281575	0.553755	0.000300599
0.064	0.317358	0.622611	0.000300599
0.065	0.352669	0.690193	0.000300599
0.066	0.387516	0.756531	0.000300599
0.067	0.421908	0.821653	0.000300599
0.068	0.455851	0.885585	0.000300599
0.069	0.489355	0.948354	0.000300599
0.07	0.522425	1.00998	0.000300599
0.071	0.55507	1.0705	0.000300599
0.072	0.587296	1.12993	0.000300599
0.073	0.619109	1.18829	0.000300599
0.074	0.650516	1.24561	0.000300599
0.075	0.681524	1.30191	0.000300599
0.076	0.712138	1.3572	0.000300599
0.077	0.742365	1.41151	0.000300599
0.078	0.772211	1.46487	0.000300599
0.079	0.80168	1.51727	0.000300599
0.08	0.830778	1.56876	0.000300599
0.081	0.859512	1.61934	0.000300599
0.082	0.887886	1.66903	0.000300599
0.083	0.915904	1.71785	0.000300599
0.084	0.943573	1.76581	0.000300599
0.085	0.970898	1.81294	0.000300599
0.086	0.997881	1.85924	0.000300599
0.087	1.02453	1.90474	0.000300599
0.088	1.05085	1.94944	0.000300599
0.089	1.07684	1.99337	0.000300599
0.09	1.10251	2.03653	0.000300599
0.091	1.12786	2.07894	0.000300599
0.092	1.15289	2.12061	0.000300599
0.093	1.17762	2.16156	0.000300599
0.094	1.20204	2.2018	0.000300599
0.095	1.22616	2.24134	0.000300599
0.096	1.24998	2.28019	0.000300599
0.097	1.27351	2.31837	0.000300599
0.098	1.29675	2.35589	0.000300599
0.099	1.3197	2.39275	0.000300599
0.1	1.34236	2.42898	0.000300599
0.101	1.36475	2.46457	0.000300599
0.102	1.38686	2.49955	0.000300599
0.103	1.4087	2.53391	0.000300599
0.104	1.43026	2.56768	0.000300599
0.105	1.45156	2.60086	0.000300599
0.106	1.4726	2.63346	0.000300599
0.107	1.49337	2.66549	0.000300599
0.108	1.51389	2.69696	0.000300599
0.109	1.53416	2.72788	0.000300599
0.11	1.55417	2.75826	0.000300599
0.111	1.57394	2.7881	0.000300599
0.112	1.59346	2.81742	0.000300599
0.113	1.61273	2.84622	0.000300599
0.114	1.63177	2.87451	0.000300599
0.115	1.65057	2.9023	0.000300599
0.116	1.66913	2.9296	0.000300599
0.117	1.68747	2.95641	0.000300599
0.118	1.70557	2.98275	0.000300599
0.119	1.72345	3.00862	0.000300599
0.12	1.7411	3.03402	0.000300599
0.121	1.75853	3.05897	0.000300599
0.122	1.77574	3.08346	0.000300599
0.123	1.79273	3.10752	0.000300599
0.124	1.80951	3.13114	0.000300599
0.125	1.82608	3.15433	0.000300599
0.126	1.84244	3.1771	0.000300599
0.127	1.85859	3.19945	0.000300599
0.128	1.87454	3.22139	0.000300599
0.129	1.89028	3.24293	0.000300599
0.13	1.90582	3.26408	0.000300599
0.131	1.92116	3.28483	0.000300599
0.132	1.93631	3.30519	0.000300599
0.133	1.95126	3.32517	0.000300599
0.134	1.96601	3.34478	0.000300599
0.135	1.98058	3.36402	0.000300599
0.136	1.37283	2.2525	0.000300599
0.137	1.36067	2.22932	0.000300599
0.138	1.34858	2.20635	0.000300599
0.139	1.33658	2.18358	0.000300599
0.14	1.32465	2.16101	0.000300599
0.141	1.3128	2.13864	0.000300599
0.142	1.30103	2.11647	0.000300599
0.143	1.28933	2.09449	0.000300599
0.144	1.2777	2.0727	0.000300599
0.145	1.26615	2.05111	0.000300599
0.146	1.25468	2.0297	0.000300599
0.147	1.24328	2.00848	0.000300599
0.148	1.23194	1.98745	0.000300599
0.149	1.22069	1.96659	0.000300599
0.15	1.2095	1.94592	0.000300599
0.151	1.19838	1.92542	0.000300599
0.152	1.18734	1.9051	0.000300599
0.153	1.17636	1.88496	0.000300599
0.154	1.16545	1.86499	0.000300599
0.155	1.15461	1.84518	0.000300599
0.156	1.14384	1.82555	0.000300599
0.157	1.13314	1.80608	0.000300599
0.158	1.1225	1.78678	0.000300599
0.159	1.11193	1.76764	0.000300599
0.16	1.10143	1.74866	0.000300599
0.161	1.09099	1.72985	0.000300599
0.162	1.08062	1.71119	0.000300599
0.163	1.07031	1.69269	0.000300599
0.164	1.06007	1.67434	0.000300599
0.165	1.04989	1.65614	0.000300599
0.166	1.03977	1.6381	0.000300599
0.167	1.02971	1.62021	0.000300599
0.168	1.01972	1.60247	0.000300599
0.169	1.00979	1.58487	0.000300599
0.17	0.999919	1.56742	0.000300599
0.171	0.99011	1.55012	0.000300599
0.172	0.980361	1.53295	0.000300599
0.173	0.970673	1.51593	0.000300599
0.174	0.961044	1.49905	0.000300599
0.175	0.951475	1.48231	0.000300599
0.176	0.941964	1.4657	0.000300599
0.177	0.932511	1.44923	0.000300599
0.178	0.923117	1.4329	0.000300599
0.179	0.91378	1.4167	0.000300599
0.18	0.9045	1.40063	0.000300599
0.181	0.895277	1.38469	0.000300599
0.182	0.88611	1.36888	0.000300599
0.183	0.876999	1.3532	0.000300599
0.184	0.867944	1.33765	0.000300599
0.185	0.858944	1.32222	0.000300599
0.186	0.849999	1.30692	0.000300599
0.187	0.841109	1.29174	0.000300599
0.188	0.832273	1.27668	0.000300599
0.189	0.82349	1.26174	0.000300599
0.19	0.814761	1.24693	0.000300599
0.191	0.806085	1.23223	0.000300599
0.192	0.797462	1.21765	0.000300599
0.193	0.788891	1.20319	0.000300599
0.194	0.780372	1.18885	0.000300599
0.195	0.771905	1.17461	0.000300599
0.196	0.763489	1.1605	0.000300599
0.197	0.755124	1.14649	0.000300599
0.198	0.74681	1.1326	0.000300599
0.199	0.738547	1.11881	0.000300599
0.2	0.730333	1.10514	0.000300599
0.201	0.722169	1.09158	0.000300599
0.202	0.714055	1.07812	0.000300599
0.203	0.705989	1.06477	0.000300599
0.204	0.697973	1.05152	0.000300599
0.205	0.690005	1.03838	0.000300599
0.206	0.682085	1.02535	0.000300599
0.207	0.674213	1.01242	0.000300599
0.208	0.666389	0.999585	0.000300599
0.209	0.658612	0.986856	0.000300599
0.21	0.650882	0.974226	0.000300599
0.211	0.643199	0.961697	0.000300599
0.212	0.635562	0.949265	0.000300599
0.213	0.627972	0.936932	0.000300599
0.214	0.620427	0.924695	0.000300599
0.215	0.612928	0.912555	0.000300599
0.216	0.605474	0.900509	0.000300599
0.217	0.598066	0.888559	0.000300599
0.218	0.590701	0.876701	0.000300599
0.219	0.583382	0.864937	0.000300599
0.22	0.576107	0.853265	0.000300599
0.221	0.568875	0.841684	0.000300599
0.222	0.561688	0.830193	0.000300599
0.223	0.554544	0.818793	0.000300599
0.224	0.547443	0.807481	0.000300599
0.225	0.540385	0.796257	0.000300599
0.226	0.533369	0.785122	0.000300599
0.227	0.526396	0.774073	0.000300599
0.228	0.519466	0.76311	0.000300599
0.229	0.512577	0.752232	0.000300599
0.23	0.50573	0.741439	0.000300599
0.231	0.498924	0.73073	0.000300599
0.232	0.492159	0.720105	0.000300599
0.233	0.485436	0.709562	0.000300599
0.234	0.478753	0.699101	0.000300599
0.235	0.472111	0.688721	0.000300599
0.236	0.465509	0.678422	0.000300599
0.237	0.458947	0.668203	0.000300599
0.238	0.452425	0.658064	0.000300599
0.239	0.445942	0.648003	0.000300599
0.24	0.439498	0.63802	0.000300599
0.241	0.433094	0.628114	0.000300599
0.242	0.426729	0.618286	0.000300599
0.243	0.420402	0.608533	0.000300599
0.244	0.414114	0.598857	0.000300599
0.245	0.407864	0.589255	0.000300599
0.246	0.401652	0.579728	0.000300599
0.247	0.395478	0.570274	0.000300599
0.248	0.389341	0.560894	0.000300599
0.249	0.383242	0.551587	0.000300599
0.25	0.37718	0.542351	0.000300599
0.251	0.371155	0.533188	0.000300599
0.252	0.365167	0.524095	0.000300599
0.253	0.359215	0.515073	0.000300599
0.254	0.3533	0.50612	0.000300599
0.255	0.34742	0.497237	0.000300599
0.256	0.341577	0.488423	0.000300599
0.257	0.33577	0.479677	0.000300599
0.258	0.329998	0.470999	0.000300599
0.259	0.324261	0.462389	0.000300599
0.26	0.31856	0.453845	0.000300599
0.261	0.312893	0.445367	0.000300599
0.262	0.307261	0.436955	0.000300599
0.263	0.301664	0.428608	0.000300599
0.264	0.296102	0.420326	0.000300599
0.265	0.290573	0.412108	0.000300599
0.266	0.285079	0.403954	0.000300599
0.267	0.279618	0.395863	0.000300599
0.268	0.274191	0.387835	0.000300599
0.269	0.268798	0.379869	0.000300599
0.27	0.263438	0.371966	0.000300599
0.271	0.258111	0.364123	0.000300599
0.272	0.252817	0.356342	0.000300599
0.273	0.247555	0.348621	0.000300599
0.274	0.242327	0.34096	0.000300599
0.275	0.23713	0.333359	0.000300599
0.276	0.231966	0.325817	0.000300599
0.277	0.226834	0.318334	0.000300599
0.278	0.221734	0.310908	0.000300599
0.279	0.216666	0.303541	0.000300599
0.28	0.211629	0.296231	0.000300599
0.281	0.206624	0.288979	0.000300599
0.282	0.20165	0.281782	0.000300599
0.283	0.196707	0.274642	0.000300599
0.284	0.191795	0.267558	0.000300599
0.285	0.186913	0.260529	0.000300599
0.286	0.182062	0.253556	0.000300599
0.287	0.177242	0.246636	0.000300599
0.288	0.172452	0.239771	0.000300599
0.289	0.167692	0.23296	0.000300599
0.29	0.162962	0.226202	0.000300599
0.291	0.158262	0.219497	0.000300599
0.292	0.153591	0.212845	0.000300599
0.293	0.14895	0.206245	0.000300599
0.294	0.144338	0.199696	0.000300599
0.295	0.139755	0.1932	0.000300599
0.296	0.135202	0.186754	0.000300599
0.297	0.130677	0.180359	0.000300599
0.298	0.126181	0.174015	0.000300599
0.299	0.121713	0.167721	0.000300599
0.3	0.117274	0.161476	0.000300599
0.301	0.112864	0.155281	0.000300599
0.302	0.108481	0.149134	0.000300599
0.303	0.104127	0.143037	0.000300599
0.304	0.0997998	0.136987	0.000300599
0.305	0.0955008	0.130986	0.000300599
0.306	0.0912294	0.125032	0.000300599
0.307	0.0869853	0.119126	0.000300599
0.308	0.0827686	0.113266	0.000300599
0.309	0.078579	0.107453	0.000300599
