i	integral	norm	time
49	0.00231883	3.28693e-06	454983
64	0.00170436	1.5291e-06	393970
81	0.00130741	7.32981e-07	784850
100	0.0010361	6.01215e-07	1.00721e+06
121	0.000842455	7.2941e-07	1.20399e+06
144	0.000699414	8.49454e-07	1.91388e+06
169	0.000590751	9.26357e-07	1.79687e+06
196	0.000506265	9.68705e-07	1.86224e+06
225	0.000439278	9.87223e-07	2.33017e+06
256	0.000385269	9.89903e-07	2.6029e+06
289	0.000341088	9.82224e-07	4.23108e+06
324	0.000304486	9.67867e-07	2.45473e+06
361	0.000273824	9.49306e-07	5.83622e+06
400	0.000247882	9.2821e-07	5.90542e+06
441	0.000225738	9.05705e-07	3.71328e+06
484	0.000206686	8.82558e-07	5.6218e+06
529	0.000190175	8.59283e-07	5.79461e+06
576	0.000175773	8.36229e-07	6.08388e+06
625	0.000163135	8.13624e-07	6.54423e+06
676	0.000151985	7.91617e-07	7.48334e+06
729	0.000142097	7.70299e-07	4.93985e+06
784	0.000133288	7.49722e-07	7.75398e+06
841	0.000125407	7.29911e-07	1.16384e+07
900	0.000118327	7.1087e-07	9.81616e+06
961	0.000111944	6.92591e-07	7.03528e+06
1024	0.000106169	6.75057e-07	9.57851e+06
1089	0.000100928	6.58247e-07	1.51739e+07
1156	9.61554e-05	6.42132e-07	9.90428e+06
1225	9.17982e-05	6.26686e-07	1.52688e+07
1296	8.78094e-05	6.11879e-07	1.87972e+07
1369	8.41484e-05	5.97681e-07	1.66716e+07
1444	8.07803e-05	5.84063e-07	1.74223e+07
1521	7.76748e-05	5.70996e-07	1.0764e+07
1600	7.48051e-05	5.58453e-07	1.68139e+07
1681	7.21481e-05	5.46408e-07	1.72425e+07
1764	6.96831e-05	5.34835e-07	2.22924e+07
1849	6.73922e-05	5.23709e-07	1.73132e+07
1936	6.52593e-05	5.13009e-07	1.92566e+07
2025	6.32702e-05	5.02712e-07	2.64074e+07
2116	6.14122e-05	4.92798e-07	2.15801e+07
2209	5.96742e-05	4.83248e-07	2.69911e+07
2304	5.80459e-05	4.74044e-07	1.86103e+07
2401	5.65184e-05	4.65167e-07	2.36467e+07
2500	5.50834e-05	4.56604e-07	3.21544e+07
2601	5.37337e-05	4.48336e-07	2.5425e+07
2704	5.24626e-05	4.40352e-07	3.80349e+07
2809	5.12642e-05	4.32637e-07	3.30874e+07
2916	5.0133e-05	4.25178e-07	3.24096e+07
3025	4.9064e-05	4.17963e-07	4.06602e+07
3136	4.80529e-05	4.10982e-07	4.02071e+07
3249	4.70954e-05	4.04223e-07	4.82261e+07
3364	4.61879e-05	3.97676e-07	4.088e+07
3481	4.53269e-05	3.91333e-07	4.7777e+07
3600	4.45094e-05	3.85183e-07	4.78409e+07
3721	4.37324e-05	3.79218e-07	3.97824e+07
3844	4.29933e-05	3.73431e-07	4.92026e+07
3969	4.22896e-05	3.67814e-07	4.1637e+07
4096	4.16193e-05	3.6236e-07	5.06607e+07
4225	4.09801e-05	3.57061e-07	5.17732e+07
4356	4.03701e-05	3.51912e-07	4.55528e+07
4489	3.97877e-05	3.46907e-07	4.99715e+07
4624	3.92312e-05	3.42039e-07	4.92156e+07
4761	3.86991e-05	3.37303e-07	4.82369e+07
4900	3.81899e-05	3.32695e-07	5.19002e+07
5041	3.77024e-05	3.28208e-07	4.87421e+07
5184	3.72354e-05	3.23839e-07	5.00565e+07
5329	3.67876e-05	3.19582e-07	5.5092e+07
5476	3.63582e-05	3.15435e-07	4.63203e+07
5625	3.5946e-05	3.11392e-07	4.65708e+07
5776	3.55503e-05	3.0745e-07	4.89955e+07
