i	integral	norm	time
3	0.255609	0.0128626	86766
6	0.0699001	0.00351295	131907
9	0.0289796	0.00144261	333590
12	0.0156651	0.000773485	312017
15	0.00980463	0.000479963	279472
18	0.00672946	0.000326236	249233
21	0.00492116	0.000235943	659284
24	0.00376964	0.00017848	405131
27	0.00299176	0.000139681	509773
30	0.00244193	0.000112265	532901
33	0.00203906	9.21817e-05	1.22977e+06
36	0.00173513	7.70326e-05	482170
39	0.00150022	6.53254e-05	642666
42	0.00131492	5.60915e-05	1.4114e+06
45	0.00116619	4.86807e-05	588808
48	0.001045	4.2643e-05	603138
51	0.000944964	3.7659e-05	1.20859e+06
54	0.000861421	3.34971e-05	1.28492e+06
57	0.000790939	2.99861e-05	1.28338e+06
60	0.000730932	2.6997e-05	1.17243e+06
63	0.000679424	2.44313e-05	1.67991e+06
66	0.000634883	2.22127e-05	773750
69	0.000596108	2.02813e-05	1.11169e+06
72	0.000562145	1.85895e-05	1.11099e+06
75	0.00053223	1.70993e-05	1.4478e+06
78	0.000505745	1.578e-05	1.39446e+06
81	0.000482184	1.46063e-05	1.35136e+06
84	0.000461133	1.35577e-05	1.34607e+06
87	0.000442247	1.26168e-05	1.57953e+06
90	0.000425239	1.17696e-05	2.6856e+06
93	0.000409869	1.10039e-05	2.34336e+06
96	0.000395932	1.03096e-05	2.39603e+06
99	0.000383255	9.67808e-06	2.46577e+06
102	0.000371692	9.10204e-06	1.39916e+06
105	0.000361115	8.57514e-06	1.14273e+06
108	0.000351416	8.09195e-06	1.7031e+06
111	0.0003425	7.64777e-06	2.20534e+06
114	0.000334285	7.23851e-06	2.5541e+06
117	0.000326699	6.8606e-06	1.7742e+06
120	0.000319679	6.51092e-06	1.94786e+06
123	0.000313172	6.18672e-06	1.39355e+06
126	0.000307127	5.8856e-06	1.38019e+06
129	0.000301503	5.60541e-06	2.50332e+06
132	0.00029626	5.34425e-06	2.27939e+06
135	0.000291366	5.10044e-06	3.37245e+06
138	0.00028679	4.87248e-06	2.0914e+06
141	0.000282505	4.65902e-06	1.89983e+06
144	0.000278487	4.45886e-06	2.73771e+06
147	0.000274715	4.27092e-06	4.69534e+06
150	0.000271168	4.09421e-06	3.2652e+06
153	0.000267828	3.92787e-06	1.92776e+06
156	0.000264681	3.7711e-06	1.63832e+06
159	0.000261712	3.62318e-06	2.42815e+06
162	0.000258907	3.48345e-06	4.20322e+06
165	0.000256255	3.35133e-06	3.00077e+06
168	0.000253744	3.22626e-06	1.86176e+06
171	0.000251365	3.10776e-06	3.39272e+06
174	0.000249109	2.99537e-06	2.86985e+06
177	0.000246968	2.88868e-06	4.29074e+06
180	0.000244933	2.78732e-06	3.357e+06
183	0.000242998	2.69092e-06	2.98781e+06
186	0.000241156	2.59919e-06	2.44518e+06
189	0.000239402	2.51181e-06	2.77576e+06
192	0.00023773	2.42851e-06	2.9746e+06
195	0.000236134	2.34906e-06	3.10424e+06
198	0.000234612	2.2732e-06	3.42524e+06
201	0.000233157	2.20074e-06	2.12691e+06
204	0.000231766	2.13147e-06	5.30796e+06
207	0.000230436	2.0652e-06	2.84625e+06
210	0.000229162	2.00177e-06	3.06399e+06
213	0.000227942	1.94101e-06	3.24173e+06
216	0.000226773	1.88278e-06	3.11016e+06
219	0.000225652	1.82694e-06	2.95839e+06
222	0.000224576	1.77336e-06	3.27633e+06
225	0.000223544	1.72192e-06	3.25601e+06
228	0.000222551	1.67251e-06	5.63875e+06
231	0.000221598	1.62502e-06	2.50572e+06
234	0.000220681	1.57935e-06	3.47049e+06
237	0.000219799	1.53541e-06	5.50637e+06
240	0.00021895	1.49312e-06	5.38387e+06
243	0.000218132	1.4524e-06	3.63561e+06
246	0.000217344	1.41316e-06	3.82661e+06
249	0.000216584	1.37534e-06	6.21927e+06
252	0.000215852	1.33887e-06	4.40417e+06
255	0.000215145	1.30368e-06	3.89882e+06
258	0.000214463	1.26972e-06	4.06111e+06
261	0.000213805	1.23693e-06	5.05997e+06
264	0.000213169	1.20526e-06	3.31897e+06
267	0.000212554	1.17466e-06	4.92051e+06
270	0.00021196	1.14507e-06	6.13596e+06
273	0.000211385	1.11646e-06	4.3233e+06
276	0.000210829	1.08878e-06	4.11679e+06
279	0.000210291	1.06199e-06	7.4881e+06
282	0.00020977	1.03606e-06	4.79104e+06
285	0.000209266	1.01095e-06	4.15693e+06
288	0.000208777	9.86621e-07	3.76642e+06
291	0.000208303	9.63045e-07	6.94677e+06
294	0.000207844	9.40191e-07	6.54763e+06
297	0.000207399	9.18029e-07	4.48528e+06
300	0.000206967	8.96533e-07	5.50734e+06
303	0.000206548	8.75674e-07	4.8028e+06
306	0.000206141	8.5543e-07	4.3113e+06
309	0.000205746	8.35776e-07	5.83511e+06
312	0.000205362	8.16688e-07	6.93386e+06
315	0.000204989	7.98147e-07	7.63182e+06
318	0.000204627	7.80131e-07	5.9787e+06
321	0.000204275	7.6262e-07	4.72315e+06
324	0.000203933	7.45597e-07	5.75897e+06
327	0.0002036	7.29042e-07	3.91183e+06
330	0.000203277	7.12939e-07	6.25862e+06
333	0.000202962	6.97273e-07	4.95865e+06
336	0.000202655	6.82027e-07	5.12226e+06
339	0.000202356	6.67186e-07	6.09792e+06
342	0.000202066	6.52737e-07	5.99608e+06
345	0.000201783	6.38665e-07	5.78693e+06
348	0.000201507	6.24958e-07	3.34157e+06
351	0.000201238	6.11604e-07	9.89828e+06
354	0.000200977	5.9859e-07	4.46572e+06
357	0.000200721	5.85904e-07	8.19628e+06
360	0.000200472	5.73538e-07	1.04676e+07
363	0.00020023	5.61478e-07	5.35623e+06
366	0.000199993	5.49717e-07	5.65092e+06
369	0.000199762	5.38243e-07	7.0761e+06
372	0.000199537	5.27048e-07	9.38922e+06
375	0.000199317	5.16123e-07	8.24212e+06
378	0.000199102	5.05459e-07	4.79607e+06
381	0.000198892	4.95048e-07	5.58402e+06
384	0.000198687	4.84883e-07	5.22461e+06
387	0.000198487	4.74955e-07	5.20678e+06
390	0.000198292	4.65258e-07	6.5663e+06
393	0.000198101	4.55784e-07	1.54779e+07
396	0.000197914	4.46527e-07	6.96815e+06
399	0.000197732	4.37481e-07	7.43896e+06
402	0.000197554	4.28637e-07	5.97698e+06
405	0.000197379	4.19993e-07	9.50366e+06
408	0.000197209	4.1154e-07	6.79067e+06
411	0.000197042	4.03274e-07	7.04719e+06
414	0.000196879	3.9519e-07	6.97979e+06
417	0.000196719	3.87281e-07	6.63061e+06
420	0.000196563	3.79544e-07	1.17846e+07
423	0.00019641	3.71973e-07	6.90607e+06
426	0.00019626	3.64564e-07	7.32135e+06
429	0.000196114	3.57312e-07	1.40232e+07
432	0.00019597	3.50213e-07	7.74622e+06
435	0.00019583	3.43263e-07	5.34511e+06
438	0.000195692	3.36457e-07	6.83563e+06
441	0.000195557	3.29792e-07	8.47814e+06
444	0.000195425	3.23265e-07	7.69981e+06
447	0.000195295	3.16871e-07	8.95827e+06
450	0.000195169	3.10607e-07	6.65939e+06
453	0.000195044	3.04469e-07	9.02365e+06
456	0.000194922	2.98455e-07	8.08743e+06
459	0.000194803	2.92562e-07	6.89664e+06
462	0.000194686	2.86785e-07	8.24741e+06
465	0.000194571	2.81122e-07	5.27151e+06
468	0.000194458	2.75571e-07	6.69802e+06
471	0.000194347	2.70128e-07	7.9228e+06
474	0.000194239	2.64791e-07	6.11763e+06
477	0.000194133	2.59558e-07	8.44085e+06
480	0.000194028	2.54425e-07	7.2563e+06
483	0.000193926	2.49391e-07	7.07808e+06
486	0.000193825	2.44453e-07	6.66318e+06
489	0.000193726	2.39608e-07	6.69026e+06
492	0.000193629	2.34855e-07	5.9713e+06
495	0.000193534	2.30192e-07	6.79294e+06
498	0.000193441	2.25615e-07	6.23753e+06
501	0.000193349	2.21125e-07	4.7259e+06
