t	integral	norm	uniform_integral	uniform_norm	time
-1	0.168058	2.15959	0.0160179	0.197357	247899
-0.997337	0.168058	2.15959	0.0160179	0.197357	81148
-0.994674	0.148723	1.90733	0.0160179	0.197357	56898
-0.992011	0.136719	1.75099	0.0160179	0.197357	65472
-0.989348	0.127944	1.63683	0.0160179	0.197357	65757
-0.986684	0.121018	1.54681	0.0160179	0.197357	58636
-0.984021	0.1153	1.47256	0.0160179	0.197357	52994
-0.981358	0.110436	1.40944	0.0160179	0.197357	58174
-0.978695	0.106209	1.35461	0.0160179	0.197357	82289
-0.976032	0.102476	1.30623	0.0160179	0.197357	55841
-0.973369	0.099137	1.26298	0.0160179	0.197357	89241
-0.970706	0.0961209	1.22392	0.0160179	0.197357	80459
-0.968043	0.0933736	1.18837	0.0160179	0.197357	57336
-0.965379	0.0908535	1.15577	0.0160179	0.197357	57147
-0.962716	0.0885283	1.1257	0.0160179	0.197357	105433
-0.960053	0.0863719	1.09783	0.0160179	0.197357	57810
-0.95739	0.0843632	1.07188	0.0160179	0.197357	56814
-0.954727	0.0824847	1.04762	0.0160179	0.197357	53372
-0.952064	0.080722	1.02486	0.0160179	0.197357	60100
-0.949401	0.0790628	1.00344	0.0160179	0.197357	57306
-0.946738	0.0774967	0.983237	0.0160179	0.197357	56760
-0.944075	0.0760146	0.964121	0.0160179	0.197357	55357
-0.941411	0.0746091	0.945996	0.0160179	0.197357	60757
-0.938748	0.0732732	0.928776	0.0160179	0.197357	56896
-0.936085	0.0720011	0.912382	0.0160179	0.197357	59359
-0.933422	0.0707877	0.896749	0.0160179	0.197357	57792
-0.930759	0.0696283	0.881815	0.0160179	0.197357	167434
-0.928096	0.0685189	0.86753	0.0160179	0.197357	94791
-0.925433	0.0674559	0.853844	0.0160179	0.197357	56790
-0.92277	0.0664359	0.840716	0.0160179	0.197357	58128
-0.920107	0.0654561	0.828108	0.0160179	0.197357	56287
-0.917443	0.0645137	0.815984	0.0160179	0.197357	58587
-0.91478	0.0636064	0.804315	0.0160179	0.197357	83098
-0.912117	0.062732	0.793071	0.0160179	0.197357	79052
-0.909454	0.0618885	0.782227	0.0160179	0.197357	58119
-0.906791	0.0610741	0.771758	0.0160179	0.197357	66455
-0.904128	0.060287	0.761644	0.0160179	0.197357	55642
-0.901465	0.0595258	0.751864	0.0160179	0.197357	90454
-0.898802	0.0587891	0.7424	0.0160179	0.197357	60165
-0.896138	0.0580755	0.733235	0.0160179	0.197357	56597
-0.893475	0.0573839	0.724354	0.0160179	0.197357	58765
-0.890812	0.0567131	0.715742	0.0160179	0.197357	56236
-0.888149	0.056062	0.707385	0.0160179	0.197357	57066
-0.885486	0.0554298	0.699271	0.0160179	0.197357	64145
-0.882823	0.0548155	0.691389	0.0160179	0.197357	60216
-0.88016	0.0542183	0.683727	0.0160179	0.197357	53078
-0.877497	0.0536375	0.676276	0.0160179	0.197357	94327
-0.874834	0.0530721	0.669025	0.0160179	0.197357	57745
-0.87217	0.0525217	0.661967	0.0160179	0.197357	137315
-0.869507	0.0519855	0.655093	0.0160179	0.197357	69585
-0.866844	0.051463	0.648394	0.0160179	0.197357	58533
-0.864181	0.0509535	0.641865	0.0160179	0.197357	57853
-0.861518	0.0504566	0.635497	0.0160179	0.197357	132875
-0.858855	0.0499717	0.629284	0.0160179	0.197357	61756
-0.856192	0.0494984	0.62322	0.0160179	0.197357	59776
-0.853529	0.0490362	0.617299	0.0160179	0.197357	77633
-0.850866	0.0485847	0.611516	0.0160179	0.197357	55111
-0.848202	0.0481435	0.605866	0.0160179	0.197357	59848
-0.845539	0.0477121	0.600343	0.0160179	0.197357	73898
-0.842876	0.0472904	0.594944	0.0160179	0.197357	55289
-0.840213	0.0468778	0.589662	0.0160179	0.197357	55956
-0.83755	0.0464741	0.584496	0.0160179	0.197357	56558
-0.834887	0.046079	0.579439	0.0160179	0.197357	57471
-0.832224	0.0456921	0.574489	0.0160179	0.197357	56336
-0.829561	0.0453133	0.569642	0.0160179	0.197357	116948
-0.826897	0.0449422	0.564895	0.0160179	0.197357	56140
-0.824234	0.0445785	0.560244	0.0160179	0.197357	66545
-0.821571	0.0442221	0.555685	0.0160179	0.197357	55028
-0.818908	0.0438727	0.551217	0.0160179	0.197357	57193
-0.816245	0.0435301	0.546836	0.0160179	0.197357	69663
-0.813582	0.043194	0.54254	0.0160179	0.197357	108340
-0.810919	0.0428643	0.538326	0.0160179	0.197357	81281
-0.808256	0.0425408	0.534191	0.0160179	0.197357	56937
-0.805593	0.0422233	0.530133	0.0160179	0.197357	53359
-0.802929	0.0419115	0.526149	0.0160179	0.197357	60046
-0.800266	0.0416055	0.522238	0.0160179	0.197357	58827
-0.797603	0.0413049	0.518398	0.0160179	0.197357	61370
-0.79494	0.0410096	0.514626	0.0160179	0.197357	58206
-0.792277	0.0407195	0.510921	0.0160179	0.197357	57683
-0.789614	0.0404344	0.50728	0.0160179	0.197357	59619
-0.786951	0.0401542	0.503702	0.0160179	0.197357	58035
-0.784288	0.0398788	0.500185	0.0160179	0.197357	58766
-0.781625	0.039608	0.496727	0.0160179	0.197357	120932
-0.778961	0.0393417	0.493328	0.0160179	0.197357	59428
-0.776298	0.0390798	0.489984	0.0160179	0.197357	105818
-0.773635	0.0388221	0.486696	0.0160179	0.197357	55239
-0.770972	0.0385687	0.483461	0.0160179	0.197357	63357
-0.768309	0.0383192	0.480277	0.0160179	0.197357	65108
-0.765646	0.0380737	0.477145	0.0160179	0.197357	57419
-0.762983	0.0378321	0.474062	0.0160179	0.197357	59662
-0.76032	0.0375942	0.471027	0.0160179	0.197357	95390
-0.757656	0.03736	0.46804	0.0160179	0.197357	71237
-0.754993	0.0371294	0.465098	0.0160179	0.197357	69862
-0.75233	0.0369022	0.4622	0.0160179	0.197357	58244
-0.749667	0.0366784	0.459347	0.0160179	0.197357	55122
-0.747004	0.036458	0.456536	0.0160179	0.197357	89239
-0.744341	0.0362408	0.453767	0.0160179	0.197357	57606
-0.741678	0.0360268	0.451039	0.0160179	0.197357	60702
-0.739015	0.0358159	0.44835	0.0160179	0.197357	114966
-0.736352	0.035608	0.4457	0.0160179	0.197357	60008
-0.733688	0.0354031	0.443088	0.0160179	0.197357	53725
-0.731025	0.0352011	0.440513	0.0160179	0.197357	58412
-0.728362	0.0350019	0.437974	0.0160179	0.197357	56057
-0.725699	0.0348054	0.435471	0.0160179	0.197357	54646
-0.723036	0.0346117	0.433003	0.0160179	0.197357	54041
-0.720373	0.0344206	0.430568	0.0160179	0.197357	68089
-0.71771	0.0342321	0.428167	0.0160179	0.197357	54215
-0.715047	0.0340462	0.425798	0.0160179	0.197357	79018
-0.712383	0.0338627	0.423461	0.0160179	0.197357	56491
-0.70972	0.0336817	0.421155	0.0160179	0.197357	57429
-0.707057	0.033503	0.41888	0.0160179	0.197357	83978
-0.704394	0.0333267	0.416634	0.0160179	0.197357	58996
