i	integral	norm	time
49	0.00231883	3.28693e-06	295369
100	0.0010361	6.01215e-07	664084
169	0.000590751	9.26357e-07	1.16742e+06
256	0.000385269	9.89903e-07	1.79698e+06
361	0.000273824	9.49306e-07	2.68974e+06
484	0.000206686	8.82558e-07	3.59886e+06
625	0.000163135	8.13624e-07	4.7203e+06
784	0.000133288	7.49722e-07	5.93814e+06
961	0.000111944	6.92591e-07	7.44552e+06
1156	9.61554e-05	6.42132e-07	9.11555e+06
1369	8.41484e-05	5.97681e-07	1.07396e+07
1600	7.48051e-05	5.58453e-07	1.26973e+07
1849	6.73922e-05	5.23709e-07	1.51755e+07
2116	6.14122e-05	4.92798e-07	1.73716e+07
2401	5.65184e-05	4.65167e-07	1.97022e+07
2704	5.24626e-05	4.40352e-07	2.26544e+07
3025	4.9064e-05	4.17963e-07	2.59161e+07
3364	4.61879e-05	3.97676e-07	2.90034e+07
3721	4.37324e-05	3.79218e-07	3.16735e+07
4096	4.16193e-05	3.6236e-07	3.56924e+07
4489	3.97877e-05	3.46907e-07	3.95771e+07
4900	3.81899e-05	3.32695e-07	4.19584e+07
5329	3.67876e-05	3.19582e-07	4.67982e+07
5776	3.55503e-05	3.0745e-07	5.16818e+07
