i	integral	norm	time
3	0.0393458	0.00112129	248082
6	0.014485	0.000417542	393781
9	0.0061568	0.000176463	529715
12	0.00336574	9.62789e-05	664782
15	0.00211451	6.04362e-05	796911
18	0.00144967	4.14164e-05	924491
21	0.00105513	3.01369e-05	1.05934e+06
24	0.000802086	2.2906e-05	1.18461e+06
27	0.000630203	1.79955e-05	1.30243e+06
30	0.00050816	1.45096e-05	1.43671e+06
33	0.000418408	1.19463e-05	1.57932e+06
36	0.000350486	1.00066e-05	1.71695e+06
39	0.000297849	8.50355e-06	1.83554e+06
42	0.000256235	7.31532e-06	1.96653e+06
45	0.000222769	6.35976e-06	2.0925e+06
48	0.000195454	5.57988e-06	2.21643e+06
51	0.000172871	4.93511e-06	2.35382e+06
54	0.000153987	4.39595e-06	2.48194e+06
57	0.000138036	3.94055e-06	2.62179e+06
60	0.00012444	3.55241e-06	2.74892e+06
63	0.000112758	3.2189e-06	2.91663e+06
66	0.000102647	2.93026e-06	3.08031e+06
69	9.38377e-05	2.67875e-06	3.14328e+06
72	8.61152e-05	2.45829e-06	3.33298e+06
75	7.93082e-05	2.26397e-06	3.46412e+06
78	7.32775e-05	2.09181e-06	3.59613e+06
81	6.79095e-05	1.93856e-06	3.70372e+06
84	6.31103e-05	1.80155e-06	4.00109e+06
87	5.88025e-05	1.67858e-06	4.01919e+06
90	5.49213e-05	1.56778e-06	4.14486e+06
93	5.1412e-05	1.46759e-06	4.26385e+06
96	4.82286e-05	1.37671e-06	4.41091e+06
99	4.5332e-05	1.29402e-06	4.53881e+06
102	4.26888e-05	1.21856e-06	4.68521e+06
105	4.02703e-05	1.14952e-06	4.79114e+06
108	3.80516e-05	1.08618e-06	4.93738e+06
111	3.60114e-05	1.02793e-06	5.07485e+06
114	3.41311e-05	9.74243e-07	5.16495e+06
117	3.23942e-05	9.24656e-07	5.33497e+06
120	3.07867e-05	8.78761e-07	5.46969e+06
123	2.9296e-05	8.36201e-07	5.51275e+06
126	2.7911e-05	7.96661e-07	5.639e+06
129	2.66221e-05	7.5986e-07	6.13852e+06
132	2.54204e-05	7.25552e-07	6.15687e+06
135	2.42984e-05	6.93515e-07	6.66063e+06
138	2.3249e-05	6.63555e-07	6.4705e+06
141	2.22663e-05	6.35494e-07	6.41217e+06
144	2.13446e-05	6.09176e-07	6.86873e+06
147	2.0479e-05	5.84459e-07	6.81168e+06
150	1.96651e-05	5.61216e-07	6.82972e+06
153	1.88988e-05	5.39333e-07	7.16481e+06
156	1.81765e-05	5.18705e-07	7.34394e+06
159	1.74948e-05	4.99238e-07	7.42731e+06
162	1.68508e-05	4.80847e-07	7.63652e+06
165	1.62418e-05	4.63454e-07	7.61848e+06
168	1.56652e-05	4.46988e-07	7.70625e+06
171	1.51189e-05	4.31384e-07	7.88247e+06
174	1.46007e-05	4.16583e-07	7.93995e+06
177	1.41087e-05	4.02531e-07	8.08046e+06
180	1.36412e-05	3.89179e-07	8.24542e+06
183	1.31967e-05	3.7648e-07	8.49269e+06
186	1.27736e-05	3.64392e-07	9.21841e+06
189	1.23705e-05	3.52878e-07	9.10475e+06
192	1.19863e-05	3.41901e-07	8.99617e+06
195	1.16197e-05	3.31429e-07	8.87759e+06
198	1.12698e-05	3.2143e-07	9.29514e+06
201	1.09354e-05	3.11877e-07	9.2912e+06
204	1.06158e-05	3.02743e-07	9.37597e+06
207	1.031e-05	2.94005e-07	9.49688e+06
210	1.00173e-05	2.8564e-07	9.58369e+06
213	9.73698e-06	2.77627e-07	9.75409e+06
216	9.46828e-06	2.69946e-07	9.92853e+06
219	9.2106e-06	2.6258e-07	1.00258e+07
222	8.96334e-06	2.55511e-07	1.01171e+07
225	8.72596e-06	2.48724e-07	1.00769e+07
228	8.49793e-06	2.42204e-07	1.01607e+07
231	8.27876e-06	2.35936e-07	1.03057e+07
234	8.06803e-06	2.29909e-07	1.03985e+07
237	7.86529e-06	2.2411e-07	1.08162e+07
240	7.67014e-06	2.18527e-07	1.09909e+07
243	7.48222e-06	2.13151e-07	1.15977e+07
246	7.30117e-06	2.0797e-07	1.18592e+07
249	7.12666e-06	2.02976e-07	1.26665e+07
252	6.95837e-06	1.9816e-07	1.16408e+07
255	6.79604e-06	1.93513e-07	1.1737e+07
258	6.63936e-06	1.89028e-07	1.20909e+07
261	6.48812e-06	1.84697e-07	1.17983e+07
264	6.34203e-06	1.80513e-07	1.22081e+07
267	6.20087e-06	1.76469e-07	1.20422e+07
270	6.06443e-06	1.7256e-07	1.23375e+07
273	5.9325e-06	1.6878e-07	1.25723e+07
276	5.80487e-06	1.65122e-07	1.26977e+07
279	5.68138e-06	1.61582e-07	1.26894e+07
282	5.56184e-06	1.58154e-07	1.28208e+07
285	5.44608e-06	1.54835e-07	1.27395e+07
288	5.33395e-06	1.51618e-07	1.29166e+07
291	5.2253e-06	1.48501e-07	1.29898e+07
294	5.11998e-06	1.4548e-07	1.33585e+07
297	5.01787e-06	1.42549e-07	1.35863e+07
300	4.91883e-06	1.39706e-07	1.36316e+07
303	4.82274e-06	1.36947e-07	1.40354e+07
306	4.72949e-06	1.3427e-07	1.41642e+07
