t	integral	norm	uniform_integral	uniform_norm	time
-1	0.168058	0.0149971	0.0160179	0.00137054	156046
-0.997337	0.168058	0.0149971	0.0160179	0.00137054	47943
-0.994674	0.148723	0.0132454	0.0160179	0.00137054	48264
-0.992011	0.136719	0.0121597	0.0160179	0.00137054	47222
-0.989348	0.127944	0.0113669	0.0160179	0.00137054	50372
-0.986684	0.121018	0.0107418	0.0160179	0.00137054	56544
-0.984021	0.1153	0.0102261	0.0160179	0.00137054	49377
-0.981358	0.110436	0.00978775	0.0160179	0.00137054	54017
-0.978695	0.106209	0.00940705	0.0160179	0.00137054	53374
-0.976032	0.102476	0.00907102	0.0160179	0.00137054	48426
-0.973369	0.099137	0.00877067	0.0160179	0.00137054	48262
-0.970706	0.0961209	0.00849948	0.0160179	0.00137054	47769
-0.968043	0.0933736	0.00825256	0.0160179	0.00137054	48009
-0.965379	0.0908535	0.00802618	0.0160179	0.00137054	64703
-0.962716	0.0885283	0.00781739	0.0160179	0.00137054	48175
-0.960053	0.0863719	0.00762384	0.0160179	0.00137054	49320
-0.95739	0.0843632	0.00744361	0.0160179	0.00137054	63380
-0.954727	0.0824847	0.00727512	0.0160179	0.00137054	48260
-0.952064	0.080722	0.00711708	0.0160179	0.00137054	64314
-0.949401	0.0790628	0.00696836	0.0160179	0.00137054	48850
-0.946738	0.0774967	0.00682803	0.0160179	0.00137054	71390
-0.944075	0.0760146	0.00669529	0.0160179	0.00137054	48659
-0.941411	0.0746091	0.00656942	0.0160179	0.00137054	47119
-0.938748	0.0732732	0.00644983	0.0160179	0.00137054	56941
-0.936085	0.0720011	0.00633599	0.0160179	0.00137054	65750
-0.933422	0.0707877	0.00622742	0.0160179	0.00137054	49346
-0.930759	0.0696283	0.00612372	0.0160179	0.00137054	48425
-0.928096	0.0685189	0.00602451	0.0160179	0.00137054	58168
-0.925433	0.0674559	0.00592947	0.0160179	0.00137054	58304
-0.92277	0.0664359	0.00583831	0.0160179	0.00137054	53662
-0.920107	0.0654561	0.00575075	0.0160179	0.00137054	53855
-0.917443	0.0645137	0.00566656	0.0160179	0.00137054	48859
-0.91478	0.0636064	0.00558552	0.0160179	0.00137054	56265
-0.912117	0.062732	0.00550744	0.0160179	0.00137054	53257
-0.909454	0.0618885	0.00543213	0.0160179	0.00137054	49625
-0.906791	0.0610741	0.00535943	0.0160179	0.00137054	49694
-0.904128	0.060287	0.00528919	0.0160179	0.00137054	71178
-0.901465	0.0595258	0.00522128	0.0160179	0.00137054	47962
-0.898802	0.0587891	0.00515556	0.0160179	0.00137054	55336
-0.896138	0.0580755	0.00509191	0.0160179	0.00137054	51634
-0.893475	0.0573839	0.00503024	0.0160179	0.00137054	53340
-0.890812	0.0567131	0.00497043	0.0160179	0.00137054	50765
-0.888149	0.056062	0.00491239	0.0160179	0.00137054	57975
-0.885486	0.0554298	0.00485605	0.0160179	0.00137054	49964
-0.882823	0.0548155	0.00480131	0.0160179	0.00137054	46074
-0.88016	0.0542183	0.0047481	0.0160179	0.00137054	51523
-0.877497	0.0536375	0.00469636	0.0160179	0.00137054	54607
-0.874834	0.0530721	0.00464601	0.0160179	0.00137054	55367
-0.87217	0.0525217	0.00459699	0.0160179	0.00137054	51212
-0.869507	0.0519855	0.00454926	0.0160179	0.00137054	55623
-0.866844	0.051463	0.00450274	0.0160179	0.00137054	53017
-0.864181	0.0509535	0.00445739	0.0160179	0.00137054	63318
-0.861518	0.0504566	0.00441317	0.0160179	0.00137054	51664
-0.858855	0.0499717	0.00437003	0.0160179	0.00137054	55325
-0.856192	0.0494984	0.00432791	0.0160179	0.00137054	57917
-0.853529	0.0490362	0.0042868	0.0160179	0.00137054	51138
-0.850866	0.0485847	0.00424664	0.0160179	0.00137054	49299
-0.848202	0.0481435	0.0042074	0.0160179	0.00137054	64690
-0.845539	0.0477121	0.00416905	0.0160179	0.00137054	60952
-0.842876	0.0472904	0.00413155	0.0160179	0.00137054	50953
-0.840213	0.0468778	0.00409488	0.0160179	0.00137054	53427
-0.83755	0.0464741	0.004059	0.0160179	0.00137054	49168
-0.834887	0.046079	0.00402388	0.0160179	0.00137054	48217
-0.832224	0.0456921	0.00398951	0.0160179	0.00137054	50417
-0.829561	0.0453133	0.00395585	0.0160179	0.00137054	48701
-0.826897	0.0449422	0.00392288	0.0160179	0.00137054	48850
-0.824234	0.0445785	0.00389058	0.0160179	0.00137054	51296
-0.821571	0.0442221	0.00385893	0.0160179	0.00137054	48097
-0.818908	0.0438727	0.0038279	0.0160179	0.00137054	48485
-0.816245	0.0435301	0.00379747	0.0160179	0.00137054	47606
-0.813582	0.043194	0.00376764	0.0160179	0.00137054	55070
-0.810919	0.0428643	0.00373837	0.0160179	0.00137054	47287
-0.808256	0.0425408	0.00370966	0.0160179	0.00137054	47882
-0.805593	0.0422233	0.00368148	0.0160179	0.00137054	54512
-0.802929	0.0419115	0.00365381	0.0160179	0.00137054	48282
-0.800266	0.0416055	0.00362666	0.0160179	0.00137054	55412
